0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
A;A;Symbol;Name;Z;abundance;Re[bc_coh];Im[bc_coh];Re[bc_inc];Im[bc_inc];sigma_coh;sigma_inc;sigma_scatt;sigma_abs;Symbol;Z;CrKafp;CrKafpp;FeKafp;FeKafpp;CuKafp;CuKafpp;MoKafp;MoKafpp;AgKafp;AgKafpp
;;;;;;;;;;;;;;;;5989eV;5989eV;7112eV;7112eV;8979eV;8979eV;20000eV;20000eV;25514eV;25514eV
n;58.9332;Co;Cobalt;27;;2.49;;-6.2;;0.779;4.8;5.6;37.18;Co;27;-1.124;0.893;-1.623;0.662;-2.464;3.608;0.299;0.973;0.256;0.63
59;58.9332002;Co;Cobalt;27;100;2.49;;-6.2;;0.779;4.8;5.6;37.18;Co;27;-1.124;0.893;-1.623;0.662;-2.464;3.608;0.299;0.973;0.256;0.63
n;58.6934;Ni;Nickel;28; ;10.3;; ;;13.3;5.2;18.5;4.49;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
58;57.9353479;Ni;Nickel;28;68.27;14.4;;0;;26.1;0;26.1;4.6;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
60;59.9307906;Ni;Nickel;28;26.1;2.8;;0;;0.99;0;0.99;2.9;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
61;60.9310604;Ni;Nickel;28;1.13;7.6;;3.9;;7.26;1.9;9.2;2.5;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
62;61.9283488;Ni;Nickel;28;3.59;-8.7;;0;;9.5;0;9.5;14.5;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
64;63.9279696;Ni;Nickel;28;0.91;-0.37;;0;;0.017;0;0.017;1.52;Ni;28;-0.956;1.036;-1.343;0.769;-2.956;0.509;0.285;1.113;0.261;0.724
n;63.546;Cu;Copper;29; ;7.718;; ;;7.485;0.55;8.03;3.78;Cu;29;-0.795;1.196;-1.129;0.888;-2.019;0.589;0.263;1.266;0.265;0.826
63;62.9296011;Cu;Copper;29;69.17;6.43;;0.22;;5.2;0.006;5.2;4.5;Cu;29;-0.795;1.196;-1.129;0.888;-2.019;0.589;0.263;1.266;0.265;0.826
65;64.9277937;Cu;Copper;29;30.83;10.61;;1.79;;14.1;0.4;14.5;2.17;Cu;29;-0.795;1.196;-1.129;0.888;-2.019;0.589;0.263;1.266;0.265;0.826
n;65.409;Zn;Zinc;30; ;5.68;; ;;4.054;0.077;4.131;1.11;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
64;63.9291466;Zn;Zinc;30;48.6;5.22;;0;;3.42;0;3.42;0.93;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
66;65.9260368;Zn;Zinc;30;27.9;5.97;;0;;4.48;0;4.48;0.62;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
67;66.9271309;Zn;Zinc;30;4.1;7.56;;-1.5;;7.18;0.28;7.46;6.8;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
68;67.9248476;Zn;Zinc;30;18.8;6.03;;0;;4.57;0;4.57;1.1;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
70;69.925325;Zn;Zinc;30;0.6;6;;0;;4.5;0;4.5;0.092;Zn;30;-0.684;1.373;-0.978;1.021;-1.612;0.678;0.222;1.431;0.26;0.938
n;69.723;Ga;Gallium;31; ;7.288;; ;;6.675;0.16;6.83;2.75;Ga;31;-0.57;1.569;-0.841;1.168;-1.354;0.777;0.163;1.609;0.249;1.059
69;68.925581;Ga;Gallium;31;60.1;7.88;;-0.85;;7.8;0.091;7.89;2.18;Ga;31;-0.57;1.569;-0.841;1.168;-1.354;0.777;0.163;1.609;0.249;1.059
71;70.924705;Ga;Gallium;31;39.9;6.4;;-0.82;;5.15;0.084;5.23;3.61;Ga;31;-0.57;1.569;-0.841;1.168;-1.354;0.777;0.163;1.609;0.249;1.059
n;72.64;Ge;Germanium;32; ;8.185;; ;;8.42;0.18;8.6;2.2;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
70;69.9242504;Ge;Germanium;32;20.5;10;;0;;12.6;0;12.6;3;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
72;71.9220762;Ge;Germanium;32;27.4;8.51;;0;;9.1;0;9.1;0.8;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
73;72.9234594;Ge;Germanium;32;7.8;5.02;;3.4;;3.17;1.5;4.7;15.1;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
74;73.9211782;Ge;Germanium;32;36.5;7.58;;0;;7.2;0;7.2;0.4;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
76;75.9214027;Ge;Germanium;32;7.8;8.2;;0;;8;0;8;0.16;Ge;32;-0.462;1.786;-0.717;1.331;-1.163;0.886;0.081;1.801;0.228;1.19
n;74.9216;As;Arsenic;33;;6.58;;-0.69;;5.44;0.06;5.5;4.5;As;33;-0.365;2.022;-0.607;1.508;-1.011;1.006;-0.03;2.007;0.196;1.332
75;74.9215964;As;Arsenic;33;100;6.58;;-0.69;;5.44;0.06;5.5;4.5;As;33;-0.365;2.022;-0.607;1.508;-1.011;1.006;-0.03;2.007;0.196;1.332
n;78.96;Se;Selenium;34; ;7.97;; ;;7.98;0.32;8.3;11.7;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
74;73.9224766;Se;Selenium;34;0.9;0.8;;0;;0.1;0;0.1;51.8;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
76;75.9192141;Se;Selenium;34;9;12.2;;0;;18.7;0;18.7;85;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
77;76.9199146;Se;Selenium;34;7.6;8.25;;0.6;;8.6;0.05;8.65;42;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
78;77.9173095;Se;Selenium;34;23.5;8.24;;0;;8.5;0;8.5;0.43;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
80;79.9165218;Se;Selenium;34;49.6;7.48;;0;;7.03;0;7.03;0.61;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
82;81.9167;Se;Selenium;34;9.4;6.34;;0;;5.05;0;5.05;0.044;Se;34;-0.273;2.283;-0.503;1.704;-0.879;1.139;-0.178;2.223;0.152;1.481
n;79.904;Br;Bromine;35; ;6.795;; ;;5.8;0.1;5.9;6.9;Br;35;-0.198;2.563;-0.413;1.916;-0.767;1.283;-0.374;2.456;0.09;1.643
79;78.9183376;Br;Bromine;35;50.69;6.8;;-1.1;;5.81;0.15;5.96;11;Br;35;-0.198;2.563;-0.413;1.916;-0.767;1.283;-0.374;2.456;0.09;1.643
81;80.916291;Br;Bromine;35;49.31;6.79;;0.6;;5.79;0.05;5.84;2.7;Br;35;-0.198;2.563;-0.413;1.916;-0.767;1.283;-0.374;2.456;0.09;1.643
n;83.798;Kr;Krypton;36; ;7.81;; ;;7.67;0.01;7.68;25;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
78;77.920386;Kr;Krypton;36;0.35; ;;0;; ;0; ;6.4;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
80;79.916378;Kr;Krypton;36;2.25; ;;0;; ;0; ;11.8;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
82;81.9134846;Kr;Krypton;36;11.6; ;;0;; ;0; ;29;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
83;82.914136;Kr;Krypton;36;11.5; ;; ;; ; ; ;185;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
84;83.911507;Kr;Krypton;36;57; ;;0;; ;0;6.6;0.113;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
86;85.9106103;Kr;Krypton;36;17.3;8.1;;0;;8.2;0;8.2;0.003;Kr;36;-0.13;2.872;-0.328;2.149;-0.665;1.439;-0.652;2.713;0.008;1.82
n;85.4678;Rb;Rubidium;37; ;7.09;; ;;6.32;0.5;6.8;0.38;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
85;84.9117893;Rb;Rubidium;37;72.17;7.03;; ;;6.2;0.5;6.7;0.48;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
87;86.9091835;Rb;Rubidium;37;27.83;7.23;; ;;6.6;0.5;7.1;0.12;Rb;37;-0.082;3.201;-0.256;2.398;-0.574;1.608;-1.044;2.973;-0.099;2.003
n;87.62;Sr;Strontium;38; ;7.02;; ;;6.19;0.06;6.25;1.28;Sr;38;-0.012;3.608;-0.161;2.709;-0.465;1.82;-1.657;3.264;-0.23;2.203
