  Element 12: Mg      Atomic mass:   24.3050

  Edge          keV         A
    K         1.3050    9.5007

Scattering factors as a function of energy: 

   23600.00      2.6862076E-02  1.9314742E-02
   23700.00      2.6605077E-02  1.9139884E-02
   23800.00      2.6350677E-02  1.8967282E-02
   23900.00      2.6098821E-02  1.8796889E-02
   24000.00      2.5849471E-02  1.8628675E-02
   24100.00      2.5602583E-02  1.8462602E-02
   24200.00      2.5358113E-02  1.8298633E-02
   24300.00      2.5116021E-02  1.8136740E-02
   24400.00      2.4876252E-02  1.7976880E-02
   24500.00      2.4638766E-02  1.7819023E-02
   24600.00      2.4403518E-02  1.7663138E-02
   24700.00      2.4170460E-02  1.7509190E-02
   24800.00      2.3939546E-02  1.7357154E-02
   24900.00      2.3710720E-02  1.7206991E-02
