  Element 81: Tl      Atomic mass:  204.3830

  Edge          keV         A
    K        85.5304    0.1450
    L-I      15.3467    0.8079
    L-II     14.6979    0.8436
    L-III    12.6575    0.9795
    M1        3.7041    3.3472
    M2        3.4157    3.6298
    M3        2.9566    4.1935
    M4        2.4851    4.9891
    M5        2.3893    5.1891

Scattering factors as a function of energy: 

   17500.00      -2.697978       9.656544    
   17600.00      -2.615227       9.570419    
   17700.00      -2.536059       9.485427    
   17800.00      -2.460252       9.401547    
   17900.00      -2.387601       9.318757    
   18000.00      -2.317923       9.237037    
   18100.00      -2.251051       9.156368    
   18200.00      -2.186832       9.076732    
   18300.00      -2.125126       8.998111    
   18400.00      -2.065799       8.920484    
   18500.00      -2.008734       8.843835    
   18600.00      -1.953819       8.768147    
   18700.00      -1.900952       8.693403    
   18800.00      -1.850036       8.619588    
   18900.00      -1.800982       8.546683    
   19000.00      -1.753708       8.474674    
   19100.00      -1.708217       8.403545    
   19200.00      -1.662470       8.333200    
   19300.00      -1.620051       8.263698    
   19400.00      -1.579127       8.195028    
   19500.00      -1.539639       8.127180    
   19600.00      -1.501530       8.060140    
   19700.00      -1.464746       7.993892    
   19800.00      -1.429238       7.928427    
   19900.00      -1.394958       7.863728    
   20000.00      -1.383338       7.800321    
   20100.00      -1.351850       7.738231    
   20200.00      -1.321415       7.676906    
   20300.00      -1.291994       7.616334    
   20400.00      -1.263550       7.556500    
   20500.00      -1.236048       7.497393    
   20600.00      -1.209451       7.439002    
   20700.00      -1.183729       7.381313    
   20800.00      -1.158851       7.324317    
   20900.00      -1.134785       7.268000    
   21000.00      -1.111504       7.212352    
   21100.00      -1.088981       7.157363    
   21200.00      -1.067190       7.103021    
   21300.00      -1.046107       7.049318    
   21400.00      -1.025706       6.996241    
   21500.00      -1.005967       6.943781    
   21600.00     -0.9868658       6.891928    
   21700.00     -0.9683831       6.840673    
   21800.00     -0.9504988       6.790008    
   21900.00     -0.9331930       6.739920    
   22000.00     -0.9164477       6.690403    
   22100.00     -0.9002451       6.641447    
   22200.00     -0.8845682       6.593043    
   22300.00     -0.8694009       6.545184    
   22400.00     -0.8547269       6.497860    
   22500.00     -0.8405315       6.451064    
   22600.00     -0.8267999       6.404788    
   22700.00     -0.8135183       6.359023    
   22800.00     -0.8006733       6.313762    
   22900.00     -0.7882514       6.268998    
   23000.00     -0.7762403       6.224722    
   23100.00     -0.7646280       6.180928    
   23200.00     -0.7534027       6.137609    
   23300.00     -0.7425534       6.094758    
   23400.00     -0.7320688       6.052366    
   23500.00     -0.7219387       6.010429    
   23600.00     -0.7121530       5.968939    
   23700.00     -0.7027017       5.927889    
   23800.00     -0.6935757       5.887276    
   23900.00     -0.6847655       5.847089    
   24000.00     -0.6762624       5.807324    
   24100.00     -0.6680580       5.767975    
   24200.00     -0.6601439       5.729037    
   24300.00     -0.6525122       5.690503    
   24400.00     -0.6451550       5.652367    
   24500.00     -0.6380650       5.614624    
   24600.00     -0.6312349       5.577269    
   24700.00     -0.6246577       5.540295    
   24800.00     -0.6183267       5.503698    
   24900.00     -0.6122351       5.467473    
