  Element 58: Ce      Atomic mass:  140.1200

  Edge          keV         A
    K        40.4430    0.3066
    L-I       6.5488    1.8932
    L-II      6.1642    2.0114
    L-III     5.7234    2.1663
    M1        1.4346    8.6424
    M2        1.2728    9.7411
    M3        1.1854   10.4593

Scattering factors as a function of energy: 

   21000.00     -0.4572569       1.913977    
   21100.00     -0.4644905       1.897966    
   21200.00     -0.4717224       1.882156    
   21300.00     -0.4789523       1.866546    
   21400.00     -0.4861804       1.851130    
   21500.00     -0.4934065       1.835905    
   21600.00     -0.5006306       1.820869    
   21700.00     -0.5078524       1.806019    
   21800.00     -0.5150721       1.791351    
   21900.00     -0.5222898       1.776861    
   22000.00     -0.5295053       1.762549    
   22100.00     -0.5367188       1.748409    
   22200.00     -0.5439304       1.734440    
   22300.00     -0.5511400       1.720640    
   22400.00     -0.5583478       1.707004    
   22500.00     -0.5655541       1.693530    
   22600.00     -0.5727588       1.680217    
   22700.00     -0.5799623       1.667061    
   22800.00     -0.5871643       1.654059    
   22900.00     -0.5943657       1.641210    
   23000.00     -0.6015663       1.628511    
   23100.00     -0.6087664       1.615960    
   23200.00     -0.6159664       1.603554    
   23300.00     -0.6231662       1.591291    
   23400.00     -0.6303665       1.579169    
   23500.00     -0.6375675       1.567185    
   23600.00     -0.6447695       1.555338    
   23700.00     -0.6519729       1.543625    
   23800.00     -0.6591780       1.532045    
   23900.00     -0.6663852       1.520596    
   24000.00     -0.6735951       1.509274    
   24100.00     -0.6808079       1.498079    
   24200.00     -0.6880243       1.487009    
   24300.00     -0.6952445       1.476062    
   24400.00     -0.7024692       1.465235    
   24500.00     -0.7096990       1.454527    
   24600.00     -0.7169342       1.443937    
   24700.00     -0.7241748       1.433463    
   24800.00     -0.7312634       1.423102    
   24900.00     -0.7407646       1.412879    
