  Element 59: Pr      Atomic mass:  140.9077

  Edge          keV         A
    K        41.9906    0.2953
    L-I       6.8348    1.8140
    L-II      6.4404    1.9251
    L-III     5.9643    2.0788
    M1        1.5110    8.2054
    M2        1.3374    9.2705
    M3        1.2422    9.9810

Scattering factors as a function of energy: 

   9400.000     -0.8430921       8.014959    
   9500.000     -0.7801245       7.878557    
   9600.000     -0.7213972       7.745689    
   9700.000     -0.6666080       7.616233    
   9800.000     -0.6154796       7.490070    
   9900.000     -0.5677613       7.367087    
   10000.00     -0.5232213       7.247175    
   10100.00     -0.4816473       7.130232    
   10200.00     -0.4429624       7.016160    
   10300.00     -0.4067623       6.904860    
   10400.00     -0.3729916       6.796246    
   10500.00     -0.3414967       6.690227    
   10600.00     -0.3121370       6.586721    
   10700.00     -0.2847819       6.485648    
   10800.00     -0.2593098       6.386929    
   10900.00     -0.2356085       6.290493    
   11000.00     -0.2135729       6.196266    
   11100.00     -0.1931057       6.104181    
   11200.00     -0.1741163       6.014173    
   11300.00     -0.1565196       5.926178    
   11400.00     -0.1402368       5.840137    
   11500.00     -0.1251934       5.755988    
   11600.00     -0.1113205       5.673678    
   11700.00     -9.8553404E-02   5.593153    
   11800.00     -8.6831003E-02   5.514359    
   11900.00     -7.6096557E-02   5.437247    
   12000.00     -6.7581631E-02   5.361811    
   12100.00     -5.8682989E-02   5.287979    
   12200.00     -5.0618608E-02   5.215690    
   12300.00     -4.3343935E-02   5.144900    
   12400.00     -3.6817346E-02   5.075568    
   12500.00     -3.0999368E-02   5.007652    
   12600.00     -2.5853006E-02   4.941113    
   12700.00     -2.1343350E-02   4.875916    
   12800.00     -1.7437348E-02   4.812021    
   12900.00     -1.6540995E-02   4.749416    
   13000.00     -1.3773082E-02   4.688130    
   13100.00     -1.1516609E-02   4.628046    
   13200.00     -9.7454386E-03   4.569132    
   13300.00     -8.4348088E-03   4.511358    
   13400.00     -7.5613558E-03   4.454694    
   13500.00     -7.1029318E-03   4.399111    
   13600.00     -7.0385933E-03   4.344581    
   13700.00     -8.7769460E-03   4.291096    
   13800.00     -9.4597144E-03   4.238651    
   13900.00     -1.0478199E-02   4.187181    
   14000.00     -1.1815539E-02   4.136663    
   14100.00     -1.3455717E-02   4.087072    
   14200.00     -1.5383526E-02   4.038386    
   14300.00     -1.7584590E-02   3.990582    
   14400.00     -2.0045185E-02   3.943639    
   14500.00     -2.2752369E-02   3.897536    
   14600.00     -2.5693780E-02   3.852251    
   14700.00     -2.8857660E-02   3.807768    
   14800.00     -3.2232933E-02   3.764064    
   14900.00     -3.5808939E-02   3.721123    
   15000.00     -3.9575685E-02   3.678927    
   15100.00     -4.3523554E-02   3.637457    
   15200.00     -4.7643404E-02   3.596698    
   15300.00     -5.1926643E-02   3.556633    
   15400.00     -5.6364946E-02   3.517245    
   15500.00     -6.0950551E-02   3.478519    
   15600.00     -6.5675944E-02   3.440441    
   15700.00     -7.0533961E-02   3.402996    
   15800.00     -7.5517930E-02   3.366169    
   15900.00     -8.0621295E-02   3.329947    
   16000.00     -8.5838020E-02   3.294317    
   16100.00     -9.1162197E-02   3.259265    
   16200.00     -9.6588247E-02   3.224778    
   16300.00     -0.1021108       3.190846    
   16400.00     -0.1077249       3.157454    
   16500.00     -0.1134257       3.124593    
   16600.00     -0.1192086       3.092250    
   16700.00     -0.1250691       3.060414    
   16800.00     -0.1310031       3.029076    
   16900.00     -0.1370067       2.998223    
   17000.00     -0.1431010       2.967847    
   17100.00     -0.1492298       2.937937    
   17200.00     -0.1554199       2.908484    
   17300.00     -0.1616654       2.879478    
   17400.00     -0.1679631       2.850910    
   17500.00     -0.1745913       2.822771    
   17600.00     -0.1809808       2.795055    
   17700.00     -0.1874158       2.767751    
   17800.00     -0.1938920       2.740851    
   17900.00     -0.2008331       2.714347    
   18000.00     -0.2073815       2.688234    
   18100.00     -0.2139638       2.662501    
   18200.00     -0.2205781       2.637140    
   18300.00     -0.2272223       2.612145    
   18400.00     -0.2338946       2.587508    
   18500.00     -0.2405932       2.563223    
   18600.00     -0.2473162       2.539282    
   18700.00     -0.2540621       2.515679    
