  Element 88: Ra      Atomic mass:  226.0254

  Edge          keV         A
    K       103.9219    0.1193
    L-I      19.2367    0.6445
    L-II     18.4843    0.6708
    L-III    15.4444    0.8028
    M1        4.8220    2.5712
    M2        4.4895    2.7616
    M3        3.7918    3.2698
    M4        3.2484    3.8168
    M5        3.1049    3.9932
    N1        1.2084   10.2602
    N2        1.0576   11.7232

Scattering factors as a function of energy: 

   18412.00      -8.586190       7.451608    
   18417.00      -8.653420       7.448055    
   18422.00      -8.726007       7.444504    
   18427.00      -8.804788       7.440956    
   18432.00      -8.890923       7.437410    
   18437.00      -8.985927       7.433865    
   18442.00      -9.091704       7.430324    
   18447.00      -9.211059       7.426783    
   18452.00      -9.347805       7.423246    
   18457.00      -9.507935       7.419710    
   18462.00      -9.700811       7.416177    
   18467.00      -9.943274       7.412647    
   18472.00      -10.26974       7.409118    
   18477.00      -10.76976       7.405591    
   18482.00      -11.87924       7.402066    
   18487.00      -11.73231       10.42851    
   18492.00      -10.71867       10.42389    
   18497.00      -10.23399       10.41928    
   18500.00      -10.02826       10.41651    
   18502.00      -9.911816       10.41466    
   18507.00      -9.670105       10.41005    
   18512.00      -9.476463       10.40545    
   18517.00      -9.314804       10.40084    
   18522.00      -9.176110       10.39624    
   18527.00      -9.054564       10.39164    
   18532.00      -8.946453       10.38704    
   18537.00      -8.849030       10.38245    
   18542.00      -8.760429       10.37786    
   18547.00      -8.679130       10.37327    
   18552.00      -8.604074       10.36868    
   18557.00      -8.534351       10.36409    
   18562.00      -8.469234       10.35951    
   18567.00      -8.408199       10.35493    
   18572.00      -8.350729       10.35036    
   18577.00      -8.296474       10.34578    
   18582.00      -8.245064       10.34121    
   18600.00      -8.079772       10.32477    
   18700.00      -7.478965       10.23406    
   18800.00      -7.134315       10.14434    
   18900.00      -6.921977       10.05562    
   19000.00      -6.815216       9.967877    
   19100.00      -6.843058       9.881099    
   19139.00      -6.920627       9.847514    
   19144.00      -6.935406       9.843220    
   19149.00      -6.951654       9.838925    
   19154.00      -6.969522       9.834636    
