  Element 72: Hf      Atomic mass:  178.4900

  Edge          keV         A
    K        65.3508    0.1897
    L-I      11.2707    1.1001
    L-II     10.7394    1.1545
    L-III     9.5607    1.2968
    M1        2.6009    4.7670
    M2        2.3654    5.2416
    M3        2.1076    5.8827
    M4        1.7164    7.2235
    M5        1.6617    7.4613

Scattering factors as a function of energy: 

   9583.000      -14.91841       10.47645    
   9588.000      -14.47698       10.46394    
   9593.000      -14.10959       10.45146    
   9598.000      -13.79498       10.43901    
   9600.000      -13.68069       10.43404    
   9603.000      -13.51978       10.42659    
   9608.000      -13.27528       10.41421    
   9613.000      -13.05533       10.40185    
   9618.000      -12.85548       10.38953    
   9623.000      -12.67238       10.37724    
   9628.000      -12.50349       10.36499    
   9633.000      -12.34677       10.35276    
   9638.000      -12.20066       10.34057    
   9643.000      -12.06377       10.32841    
   9648.000      -11.93508       10.31627    
   9653.000      -11.81367       10.30418    
   9658.000      -11.69879       10.29211    
   9700.000      -10.92240       10.19195    
   9800.000      -9.787429       9.961950    
   9900.000      -9.107787       9.743266    
   10000.00      -8.659792       9.535177    
   10100.00      -8.361710       9.337030    
   10200.00      -8.177968       9.148220    
   10300.00      -8.096814       8.968207    
   10400.00      -8.119578       8.796484    
   10500.00      -8.277813       8.632548    
   10600.00      -8.672213       8.475959    
   10642.00      -8.986313       8.412283    
   10647.00      -9.034711       8.404782    
   10652.00      -9.086307       8.397299    
   10657.00      -9.141459       8.389833    
   10662.00      -9.200627       8.382383    
   10667.00      -9.264332       8.374949    
   10672.00      -9.333213       8.367534    
   10677.00      -9.408061       8.360133    
   10682.00      -9.489865       8.352750    
   10687.00      -9.579887       8.345384    
   10692.00      -9.679769       8.338033    
   10697.00      -9.791677       8.330701    
   10700.00      -9.865833       8.326308    
   10702.00      -9.918677       8.323383    
   10707.00      -10.06508       8.316082    
   10712.00      -10.23739       8.308798    
   10717.00      -10.44611       8.301529    
   10722.00      -10.70976       8.294277    
   10727.00      -11.06604       8.287041    
   10732.00      -11.61307       8.279821    
   10737.00      -12.81588       8.272617    
   10742.00      -12.73308       11.65463    
   10747.00      -11.56495       11.64345    
   10752.00      -11.01007       11.63230    
   10757.00      -10.64081       11.62117    
   10762.00      -10.36286       11.61007    
   10767.00      -10.13948       11.59900    
   10772.00      -9.952464       11.58796    
   10777.00      -9.791451       11.57694    
   10782.00      -9.650002       11.56595    
   10787.00      -9.523758       11.55498    
   10792.00      -9.409735       11.54404    
   10797.00      -9.305741       11.53313    
   10800.00      -9.247455       11.52660    
   10802.00      -9.210134       11.52224    
   10807.00      -9.121648       11.51138    
   10812.00      -9.039289       11.50055    
   10817.00      -8.962263       11.48974    
   10822.00      -8.889936       11.47896    
   10827.00      -8.821749       11.46820    
   10832.00      -8.757272       11.45747    
   10837.00      -8.696131       11.44677    
   10900.00      -8.118601       11.31405    
   11000.00      -7.592642       11.11138    
   11100.00      -7.339936       10.91804    
   11173.00      -7.341967       10.78250    
   11178.00      -7.351305       10.77338    
   11183.00      -7.362374       10.76429    
   11188.00      -7.375356       10.75521    
   11193.00      -7.390464       10.74616    
   11198.00      -7.407954       10.73713    
   11200.00      -7.415684       10.73352    
   11203.00      -7.428139       10.72812    
   11208.00      -7.451406       10.71912    
   11213.00      -7.478238       10.71015    
   11218.00      -7.509251       10.70120    
   11223.00      -7.545239       10.69228    
   11228.00      -7.587287       10.68337    
   11233.00      -7.636860       10.67448    
   11238.00      -7.696063       10.66561    
   11243.00      -7.768057       10.65677    
   11248.00      -7.857907       10.64794    
   11253.00      -7.974502       10.63913    
   11258.00      -8.135738       10.63035    
   11263.00      -8.387218       10.62158    
   11268.00      -8.926018       10.61284    
   11273.00      -9.005539       12.28996    
   11278.00      -8.369414       12.28092    
   11283.00      -8.073467       12.27190    
   11288.00      -7.874636       12.26290    
   11293.00      -7.722776       12.25392    
   11298.00      -7.598742       12.24495    
   11300.00      -7.554657       12.24137    
   11303.00      -7.493159       12.23601    
   11308.00      -7.400742       12.22709    
   11313.00      -7.318167       12.21818    
   11318.00      -7.243268       12.20929    
   11323.00      -7.174524       12.20043    
   11328.00      -7.110826       12.19158    
   11333.00      -7.051348       12.18275    
   11338.00      -6.995452       12.17394    
   11343.00      -6.942640       12.16515    
   11348.00      -6.892520       12.15638    
   11353.00      -6.844749       12.14762    
   11358.00      -6.799070       12.13889    
   11363.00      -6.755260       12.13017    
   11368.00      -6.713129       12.12147    
   11400.00      -6.474450       12.06625    
   11500.00      -5.921042       11.89843    
   11600.00      -5.509787       11.73754    
   11700.00      -5.173702       11.58325    
   11800.00      -4.886690       11.43521    
   11900.00      -4.635211       11.29314    
   12000.00      -4.411066       11.15674    
   12100.00      -4.208775       11.02576    
   12200.00      -4.024435       10.89994    
   12300.00      -3.855118       10.77905    
   12400.00      -3.698570       10.66287    
   12500.00      -3.280325       10.53557    
   12600.00      -3.136673       10.40550    
   12700.00      -3.002627       10.27874    
   12800.00      -2.877181       10.15516    
   12900.00      -2.759478       10.03467    
   13000.00      -2.648780       9.917151    
   13100.00      -2.544447       9.802507    
   13200.00      -2.445919       9.690645    
   13300.00      -2.352700       9.581472    
   13400.00      -2.264353       9.474904    
   13500.00      -2.180484       9.370857    
   13600.00      -2.100743       9.269256    
   13700.00      -2.024813       9.170025    
   13800.00      -1.952406       9.073093    
   13900.00      -1.883266       8.978395    
   14000.00      -1.667892       8.881682    
   14100.00      -1.600376       8.780199    
   14200.00      -1.536041       8.680356    
   14300.00      -1.474714       8.582116    
   14400.00      -1.416233       8.485446    
   14500.00      -1.360450       8.390308    
   14600.00      -1.307227       8.296671    
   14700.00      -1.281269       8.205323    
   14800.00      -1.233513       8.116348    
   14900.00      -1.187869       8.028851    
   15000.00      -1.144231       7.942793    
   15100.00      -1.102501       7.858147    
   15200.00      -1.062587       7.774879    
   15300.00      -1.024401       7.692960    
   15400.00     -0.9878616       7.612360    
   15500.00     -0.9528926       7.533050    
   15600.00     -0.9194220       7.455001    
   15700.00     -0.8873823       7.378188    
   15800.00     -0.8567091       7.302582    
   15900.00     -0.8273423       7.228160    
   16000.00     -0.7992247       7.154894    
   16100.00     -0.7723024       7.082762    
   16200.00     -0.7465247       7.011739    
   16300.00     -0.7218434       6.941804    
   16400.00     -0.6982120       6.872931    
   16500.00     -0.6755875       6.805100    
   16600.00     -0.6539286       6.738289    
   16700.00     -0.6331962       6.672479    
   16800.00     -0.6133533       6.607648    
   16900.00     -0.5943639       6.543777    
   17000.00     -0.5761945       6.480846    
   17100.00     -0.5588130       6.418836    
   17200.00     -0.5421888       6.357730    
   17300.00     -0.5262919       6.297511    
   17400.00     -0.5114318       6.238160    
   17500.00     -0.4969097       6.179661    
   17600.00     -0.4830361       6.121996    
   17700.00     -0.4697866       6.065150    
   17800.00     -0.4571382       6.009108    
   17900.00     -0.4450684       5.953853    
   18000.00     -0.4335560       5.899370    
   18100.00     -0.4225809       5.845645    
   18200.00     -0.4121236       5.792664    
   18300.00     -0.4021656       5.740414    
   18400.00     -0.3926888       5.688879    
   18500.00     -0.3836762       5.638047    
   18600.00     -0.3751114       5.587905    
   18700.00     -0.3669787       5.538440    
   18800.00     -0.3592631       5.489642    
   18900.00     -0.3519499       5.441495    
   19000.00     -0.3450252       5.393989    
   19100.00     -0.3384757       5.347113    
   19200.00     -0.3335712       5.300884    
   19300.00     -0.3277386       5.255271    
   19400.00     -0.3222430       5.210254    
   19500.00     -0.3170732       5.165822    
   19600.00     -0.3122182       5.121966    
   19700.00     -0.3076676       5.078675    
   19800.00     -0.3034110       5.035941    
   19900.00     -0.2994387       4.993752    
   20000.00     -0.2957413       4.952099    
   20100.00     -0.2923097       4.910974    
   20200.00     -0.2891352       4.870367    
   20300.00     -0.2862093       4.830270    
   20400.00     -0.2835239       4.790673    
   20500.00     -0.2810712       4.751569    
   20600.00     -0.2788437       4.712948    
   20700.00     -0.2768340       4.674804    
   20800.00     -0.2750351       4.637128    
   20900.00     -0.2734403       4.599912    
   21000.00     -0.2720430       4.563149    
   21100.00     -0.2708369       4.526831    
   21200.00     -0.2698158       4.490951    
   21300.00     -0.2689740       4.455502    
   21400.00     -0.2683057       4.420476    
   21500.00     -0.2717841       4.385890    
   21600.00     -0.2714631       4.351794    
   21700.00     -0.2712974       4.318101    
   21800.00     -0.2712822       4.284807    
   21900.00     -0.2714127       4.251903    
   22000.00     -0.2716842       4.219383    
   22100.00     -0.2720924       4.187242    
   22200.00     -0.2726329       4.155473    
   22300.00     -0.2733016       4.124072    
   22400.00     -0.2740945       4.093031    
   22500.00     -0.2750077       4.062346    
   22600.00     -0.2766312       4.032019    
   22700.00     -0.2777782       4.002042    
   22800.00     -0.2790343       3.972405    
   22900.00     -0.2803960       3.943102    
   23000.00     -0.2818602       3.914128    
   23100.00     -0.2834235       3.885478    
   23200.00     -0.2850830       3.857147    
   23300.00     -0.2868356       3.829131    
   23400.00     -0.2886785       3.801424    
   23500.00     -0.2906088       3.774021    
   23600.00     -0.2926239       3.746919    
   23700.00     -0.2947210       3.720114    
   23800.00     -0.2968977       3.693599    
   23900.00     -0.2991516       3.667372    
   24000.00     -0.3014802       3.641428    
   24100.00     -0.3038811       3.615763    
   24200.00     -0.3063523       3.590373    
   24300.00     -0.3088914       3.565254    
   24400.00     -0.3114965       3.540402    
   24500.00     -0.3141655       3.515813    
   24600.00     -0.3168963       3.491483    
   24700.00     -0.3196872       3.467409    
   24800.00     -0.3225362       3.443587    
   24900.00     -0.3254415       3.420013    
