  Element 69: Tm      Atomic mass:  168.9342

  Edge          keV         A
    K        59.3896    0.2088
    L-I      10.1157    1.2257
    L-II      9.6169    1.2892
    L-III     8.6480    1.4337
    M1        2.3068    5.3747
    M2        2.0898    5.9328
    M3        1.8845    6.5792
    M4        1.5146    8.1859
    M5        1.4677    8.4475

Scattering factors as a function of energy: 

   10048.00      -7.384669       11.21513    
   10053.00      -7.404057       11.20477    
   10058.00      -7.427092       11.19442    
   10063.00      -7.454408       11.18408    
   10068.00      -7.486815       11.17376    
   10073.00      -7.525400       11.16344    
   10078.00      -7.571654       11.15314    
   10083.00      -7.627709       11.14286    
   10088.00      -7.696717       11.13258    
   10093.00      -7.784198       11.12232    
   10098.00      -7.898562       11.11207    
   10100.00      -7.955484       11.10797    
   10103.00      -8.058370       11.10183    
   10108.00      -8.309944       11.09161    
   10113.00      -8.859649       11.08140    
   10118.00      -8.929058       12.78399    
   10123.00      -8.279009       12.77337    
   10128.00      -7.974472       12.76276    
   10133.00      -7.768623       12.75216    
   10138.00      -7.610549       12.74158    
   10143.00      -7.480746       12.73100    
   10148.00      -7.369716       12.72044    
   10153.00      -7.272074       12.70989    
   10158.00      -7.184477       12.69935    
   10163.00      -7.104706       12.68882    
   10168.00      -7.031211       12.67831    
   10173.00      -6.962869       12.66780    
   10178.00      -6.898838       12.65731    
   10183.00      -6.838481       12.64683    
   10188.00      -6.781269       12.63636    
   10193.00      -6.726806       12.62591    
   10198.00      -6.674761       12.61546    
   10200.00      -6.654560       12.61129    
   10203.00      -6.624864       12.60503    
   10208.00      -6.576886       12.59461    
   10213.00      -6.530636       12.58420    
   10300.00      -5.896561       12.40492    
   10400.00      -5.368383       12.20308    
   10500.00      -4.943959       12.00563    
   10600.00      -4.584038       11.81244    
   10700.00      -4.270130       11.62340    
   10800.00      -3.991620       11.43840    
   10900.00      -3.741659       11.25735    
   11000.00      -3.515468       11.08014    
   11100.00      -3.309534       10.90669    
   11200.00      -3.121166       10.73691    
   11300.00      -3.157686       10.58150    
   11400.00      -3.003731       10.43802    
   11500.00      -2.860674       10.29853    
   11600.00      -2.727323       10.16289    
   11700.00      -2.602669       10.03095    
   11800.00      -2.485842       9.902574    
   11900.00      -2.376094       9.777635    
   12000.00      -2.272769       9.656008    
   12100.00      -2.175291       9.537579    
