  Element 32: Ge      Atomic mass:   72.5900

  Edge          keV         A
    K        11.1031    1.1167
    L-I       1.4143    8.7665
    L-II      1.2478    9.9362
    L-III     1.2167   10.1902

Scattering factors as a function of energy: 

   20800.00      0.2940669       1.333638    
   20900.00      0.2958243       1.322354    
   21000.00      0.2974959       1.311208    
   21100.00      0.2990846       1.300198    
   21200.00      0.3005928       1.289321    
   21300.00      0.3020231       1.278577    
   21400.00      0.3033778       1.267961    
   21500.00      0.3046594       1.257473    
   21600.00      0.3058699       1.247110    
   21700.00      0.3070116       1.236871    
   21800.00      0.3080865       1.226753    
   21900.00      0.3090967       1.216755    
   22000.00      0.3100442       1.206874    
   22100.00      0.3109308       1.197109    
   22200.00      0.3117583       1.187458    
   22300.00      0.3088040       1.178005    
   22400.00      0.3095039       1.168669    
   22500.00      0.3101518       1.159442    
   22600.00      0.3107493       1.150322    
   22700.00      0.3112979       1.141307    
   22800.00      0.3117990       1.132397    
   22900.00      0.3122542       1.123588    
   23000.00      0.3126647       1.114880    
   23100.00      0.3130320       1.106272    
   23200.00      0.3133572       1.097761    
   23300.00      0.3136417       1.089346    
   23400.00      0.3138867       1.081025    
   23500.00      0.3140932       1.072798    
   23600.00      0.3142626       1.064664    
   23700.00      0.3143958       1.056619    
   23800.00      0.3144939       1.048664    
   23900.00      0.3145579       1.040796    
   24000.00      0.3145889       1.033015    
   24100.00      0.3145878       1.025320    
   24200.00      0.3145556       1.017708    
   24300.00      0.3144930       1.010180    
   24400.00      0.3144011       1.002733    
   24500.00      0.3142807      0.9953660    
   24600.00      0.3141325      0.9880787    
   24700.00      0.3139574      0.9808696    
   24800.00      0.3137561      0.9737376    
   24900.00      0.3135295      0.9666815    
