  Element 86: Rn      Atomic mass:  222.0000

  Edge          keV         A
    K        98.4040    0.1260
    L-I      18.0490    0.6869
    L-II     17.3371    0.7151
    L-III    14.6194    0.8481
    M1        4.4820    2.7663
    M2        4.1590    2.9811
    M3        3.5380    3.5044
    M4        3.0215    4.1034
    M5        2.8924    4.2866
    N1        1.0970   11.3021

Scattering factors as a function of energy: 

   19100.00      -4.188548       10.49833    
   19200.00      -4.052199       10.41448    
   19300.00      -3.924145       10.33161    
   19400.00      -3.803439       10.24972    
   19500.00      -3.692203       10.16882    
   19600.00      -3.584034       10.08886    
   19700.00      -3.481265       10.00983    
   19800.00      -3.383432       9.931706    
   19900.00      -3.290133       9.854474    
   20000.00      -3.201019       9.778122    
   20100.00      -3.115784       9.702634    
   20200.00      -3.034733       9.627997    
   20300.00      -2.956473       9.554201    
   20400.00      -2.881364       9.481227    
   20500.00      -2.809211       9.409064    
   20600.00      -2.739842       9.337700    
   20700.00      -2.673095       9.267121    
   20800.00      -2.608826       9.197318    
   20900.00      -2.546901       9.128276    
   21000.00      -2.487199       9.059984    
   21100.00      -2.429607       8.992432    
   21200.00      -2.374023       8.925607    
   21300.00      -2.320350       8.859500    
   21400.00      -2.268499       8.794098    
   21500.00      -2.218387       8.729392    
   21600.00      -2.169937       8.665371    
   21700.00      -2.123078       8.602025    
   21800.00      -2.077743       8.539346    
   21900.00      -2.033866       8.477322    
   22000.00      -1.991390       8.415942    
   22100.00      -1.950258       8.355201    
   22200.00      -1.911145       8.295088    
   22300.00      -1.872545       8.235595    
   22400.00      -1.835140       8.176711    
   22500.00      -1.798874       8.118427    
   22600.00      -1.769019       8.060883    
   22700.00      -1.735028       8.004014    
   22800.00      -1.702069       7.947729    
   22900.00      -1.670100       7.892015    
   23000.00      -1.639086       7.836865    
   23100.00      -1.608996       7.782273    
   23200.00      -1.579797       7.728229    
   23300.00      -1.551462       7.674728    
   23400.00      -1.525132       7.621760    
   23500.00      -1.519085       7.569647    
   23600.00      -1.493576       7.518632    
   23700.00      -1.468796       7.468154    
   23800.00      -1.444723       7.418204    
   23900.00      -1.421333       7.368773    
   24000.00      -1.398604       7.319855    
   24100.00      -1.376515       7.271443    
   24200.00      -1.355047       7.223528    
   24300.00      -1.334180       7.176106    
   24400.00      -1.313894       7.129168    
   24500.00      -1.294174       7.082707    
   24600.00      -1.275000       7.036717    
   24700.00      -1.256358       6.991191    
   24800.00      -1.238231       6.946125    
   24900.00      -1.220603       6.901508    
