  Element 37: Rb      Atomic mass:   85.4678

  Edge          keV         A
    K        15.1997    0.8157
    L-I       2.0651    6.0038
    L-II      1.8639    6.6519
    L-III     1.8044    6.8712

Scattering factors as a function of energy: 

   20200.00     -0.2077970       2.343179    
   20300.00     -0.1927737       2.323988    
   20400.00     -0.1782375       2.305030    
   20500.00     -0.1641695       2.286299    
   20600.00     -0.1505512       2.267792    
   20700.00     -0.1373651       2.249506    
   20800.00     -0.1245950       2.231438    
   20900.00     -0.1122247       2.213582    
   21000.00     -0.1002396       2.195937    
   21100.00     -8.8625386E-02   2.178499    
   21200.00     -7.7368706E-02   2.161264    
   21300.00     -6.6456906E-02   2.144231    
   21400.00     -5.5877324E-02   2.127394    
   21500.00     -4.5618527E-02   2.110751    
   21600.00     -3.5669379E-02   2.094300    
   21700.00     -2.6019258E-02   2.078037    
   21800.00     -1.6658193E-02   2.061960    
   21900.00     -7.5761173E-03   2.046065    
   22000.00      1.2360653E-03   2.030350    
   22100.00      9.7872401E-03   2.014813    
   22200.00      1.8085916E-02   1.999449    
   22300.00      2.6140090E-02   1.984258    
   22400.00      3.3957884E-02   1.969236    
   22500.00      4.1546639E-02   1.954380    
   22600.00      4.8913542E-02   1.939689    
   22700.00      5.6065496E-02   1.925160    
   22800.00      6.3009001E-02   1.910790    
   22900.00      6.9750689E-02   1.896577    
   23000.00      7.6296553E-02   1.882519    
   23100.00      8.2652472E-02   1.868614    
   23200.00      8.8824116E-02   1.854859    
   23300.00      9.4816811E-02   1.841252    
   23400.00      0.1006360       1.827792    
   23500.00      0.1062867       1.814475    
   23600.00      0.1117737       1.801300    
   23700.00      0.1171018       1.788265    
   23800.00      0.1222752       1.775368    
   23900.00      0.1272987       1.762607    
   24000.00      0.1321762       1.749980    
   24100.00      0.1369118       1.737485    
   24200.00      0.1415095       1.725120    
   24300.00      0.1459730       1.712885    
   24400.00      0.1503059       1.700775    
   24500.00      0.1545118       1.688791    
   24600.00      0.1585940       1.676930    
   24700.00      0.1625558       1.665190    
   24800.00      0.1664004       1.653571    
   24900.00      0.1701308       1.642070    
