  Element 60: Nd      Atomic mass:  144.2400

  Edge          keV         A
    K        43.5689    0.2846
    L-I       7.1260    1.7399
    L-II      6.7215    1.8446
    L-III     6.2079    1.9972
    M1        1.5753    7.8705
    M2        1.4028    8.8383
    M3        1.2974    9.5564

Scattering factors as a function of energy: 

   16200.00     -8.0361456E-02   3.446983    
   16300.00     -8.5005596E-02   3.410858    
   16400.00     -8.9767985E-02   3.375307    
   16500.00     -9.4642743E-02   3.340318    
   16600.00     -9.9624313E-02   3.305880    
   16700.00     -0.1047074       3.271980    
   16800.00     -0.1098869       3.238608    
   16900.00     -0.1151580       3.205752    
   17000.00     -0.1205159       3.173402    
   17100.00     -0.1259751       3.141547    
   17200.00     -0.1314944       3.110176    
   17300.00     -0.1370881       3.079281    
   17400.00     -0.1427527       3.048851    
   17500.00     -0.1484843       3.018876    
   17600.00     -0.1542794       2.989348    
   17700.00     -0.1601347       2.960258    
   17800.00     -0.1660469       2.931597    
   17900.00     -0.1720131       2.903356    
   18000.00     -0.1780305       2.875527    
   18100.00     -0.1840962       2.848101    
   18200.00     -0.1902076       2.821072    
   18300.00     -0.1963619       2.794432    
   18400.00     -0.2028336       2.768173    
   18500.00     -0.2090650       2.742289    
   18600.00     -0.2153328       2.716771    
   18700.00     -0.2216349       2.691612    
   18800.00     -0.2284008       2.666807    
   18900.00     -0.2347625       2.642350    
   19000.00     -0.2411522       2.618233    
   19100.00     -0.2475686       2.594448    
   19200.00     -0.2540101       2.570990    
   19300.00     -0.2604751       2.547853    
   19400.00     -0.2669622       2.525031    
   19500.00     -0.2734699       2.502517    
   19600.00     -0.2799969       2.480307    
   19700.00     -0.2865419       2.458395    
   19800.00     -0.2931036       2.436776    
   19900.00     -0.2996809       2.415443    
   20000.00     -0.3062728       2.394393    
   20100.00     -0.3128782       2.373620    
   20200.00     -0.3194960       2.353118    
   20300.00     -0.3261252       2.332885    
   20400.00     -0.3327652       2.312914    
   20500.00     -0.3394149       2.293201    
   20600.00     -0.3460736       2.273741    
   20700.00     -0.3527406       2.254531    
   20800.00     -0.3594149       2.235566    
   20900.00     -0.3660962       2.216842    
   21000.00     -0.3727838       2.198354    
   21100.00     -0.3794769       2.180099    
   21200.00     -0.3861752       2.162072    
   21300.00     -0.3928778       2.144270    
   21400.00     -0.3995847       2.126689    
   21500.00     -0.4062952       2.109325    
   21600.00     -0.4130089       2.092175    
   21700.00     -0.4197254       2.075236    
   21800.00     -0.4264443       2.058503    
   21900.00     -0.4331654       2.041973    
   22000.00     -0.4398884       2.025643    
   22100.00     -0.4466130       2.009511    
   22200.00     -0.4533388       1.993571    
   22300.00     -0.4600657       1.977822    
   22400.00     -0.4667937       1.962260    
   22500.00     -0.4735224       1.946883    
   22600.00     -0.4802518       1.931687    
   22700.00     -0.4869817       1.916670    
   22800.00     -0.4937119       1.901828    
   22900.00     -0.5004427       1.887160    
   23000.00     -0.5071738       1.872661    
   23100.00     -0.5139052       1.858330    
   23200.00     -0.5206370       1.844165    
   23300.00     -0.5273690       1.830161    
   23400.00     -0.5341017       1.816318    
   23500.00     -0.5408348       1.802632    
   23600.00     -0.5475686       1.789101    
   23700.00     -0.5543032       1.775723    
   23800.00     -0.5610387       1.762495    
   23900.00     -0.5677754       1.749415    
   24000.00     -0.5745135       1.736482    
   24100.00     -0.5812532       1.723691    
   24200.00     -0.5879949       1.711043    
   24300.00     -0.5947387       1.698534    
   24400.00     -0.6014852       1.686162    
   24500.00     -0.6082348       1.673926    
   24600.00     -0.6149878       1.661823    
   24700.00     -0.6217448       1.649851    
   24800.00     -0.6285062       1.638009    
   24900.00     -0.6352729       1.626295    
