  Element 90: Th      Atomic mass:  232.0381

  Edge          keV         A
    K       109.6509    0.1131
    L-I      20.4721    0.6056
    L-II     19.6932    0.6296
    L-III    16.3003    0.7606
    M1        5.1823    2.3925
    M2        4.8304    2.5667
    M3        4.0461    3.0643
    M4        3.4908    3.5517
    M5        3.3320    3.7210
    N1        1.3295    9.3256
    N2        1.1682   10.6133

Scattering factors as a function of energy: 

   13200.00      -5.390636       5.702325    
   13300.00      -5.453998       5.634418    
   13400.00      -5.519385       5.567781    
   13500.00      -5.590128       5.502414    
   13600.00      -5.659943       5.438255    
   13700.00      -5.732208       5.375271    
   13800.00      -5.807111       5.313433    
   13900.00      -5.884860       5.252710    
   14000.00      -5.965691       5.193077    
   14100.00      -6.049873       5.134505    
   14200.00      -6.137713       5.076969    
   14300.00      -6.229568       5.020443    
   14400.00      -6.325847       4.964905    
   14500.00      -6.428059       4.910341    
   14600.00      -6.534692       4.856726    
   14700.00      -6.647443       4.804028    
   14800.00      -6.767109       4.752224    
   14900.00      -6.894650       4.701296    
   15000.00      -7.031241       4.651222    
   15100.00      -7.178347       4.601982    
   15200.00      -7.340413       4.553596    
   15300.00      -7.514619       4.506019    
   15400.00      -7.706716       4.459221    
   15500.00      -7.920981       4.413183    
   15600.00      -8.163428       4.367888    
   15700.00      -8.442893       4.323321    
   15800.00      -8.773136       4.279464    
   15900.00      -9.177287       4.236302    
   16000.00      -9.698914       4.193820    
   16100.00      -10.43620       4.152004    
   16200.00      -11.70356       4.110838    
   16203.00      -11.75940       4.109614    
   16208.00      -11.85654       4.107573    
   16213.00      -11.95911       4.105535    
   16218.00      -12.06784       4.103497    
   16223.00      -12.18342       4.101461    
   16228.00      -12.30686       4.099427    
   16233.00      -12.43918       4.097394    
   16238.00      -12.58188       4.095363    
   16243.00      -12.73658       4.093334    
   16248.00      -12.90553       4.091307    
   16253.00      -13.09170       4.089280    
   16258.00      -13.29878       4.087256    
   16263.00      -13.53223       4.085232    
   16268.00      -13.79948       4.083211    
   16273.00      -14.11218       4.081191    
   16278.00      -14.48856       4.079173    
   16283.00      -14.96160       4.077156    
   16288.00      -15.59768       4.075140    
   16293.00      -16.57175       4.073127    
   16298.00      -18.73212       4.071115    
   16300.00      -22.53817       4.070311    
   16303.00      -18.44732       9.968354    
   16308.00      -16.47379       9.963526    
   16313.00      -15.53030       9.958701    
   16318.00      -14.90323       9.953878    
   16323.00      -14.43286       9.949059    
   16328.00      -14.05608       9.944243    
   16333.00      -13.74155       9.939429    
   16338.00      -13.47172       9.934619    
   16343.00      -13.23525       9.929810    
   16348.00      -13.02491       9.925005    
   16353.00      -12.83535       9.920202    
   16358.00      -12.66293       9.915403    
   16363.00      -12.50469       9.910605    
   16368.00      -12.35856       9.905812    
   16373.00      -12.22278       9.901022    
   16378.00      -12.09591       9.896233    
   16383.00      -11.97695       9.891448    
   16388.00      -11.86489       9.886664    
   16393.00      -11.75903       9.881886    
   16398.00      -11.65867       9.877108    
   16400.00      -11.61997       9.875198    
   16500.00      -10.29040       9.780270    
   16600.00      -9.514094       9.686451    
   16700.00      -8.967199       9.593727    
   16800.00      -8.547894       9.502087    
   16900.00      -8.210644       9.411510    
   17000.00      -7.931109       9.321986    
   17100.00      -7.694983       9.233500    
   17200.00      -7.492084       9.146039    
   17300.00      -7.316831       9.059590    
   17400.00      -7.164405       8.974138    
   17500.00      -7.031506       8.889670    
   17600.00      -6.921309       8.806239    
   17700.00      -6.820686       8.723799    
   17800.00      -6.733867       8.642305    
   17900.00      -6.659798       8.561744    
   18000.00      -6.597717       8.482103    
   18100.00      -6.547106       8.403372    
   18200.00      -6.509573       8.325543    
   18300.00      -6.481213       8.248612    
   18400.00      -6.464062       8.172553    
   18500.00      -6.458489       8.097357    
   18600.00      -6.465142       8.023011    
   18700.00      -6.485023       7.949507    
   18800.00      -6.519602       7.876832    
   18900.00      -6.571014       7.804976    
   19000.00      -6.642383       7.733927    
   19100.00      -6.738408       7.663676    
   19200.00      -6.866500       7.594212    
   19300.00      -7.039218       7.525527    
   19400.00      -7.280360       7.457608    
   19500.00      -7.644137       7.390446    
   19596.00      -8.271246       7.326675    
   19600.00      -8.310218       7.324033    
   19601.00      -8.320226       7.323373    
   19606.00      -8.372042       7.320071    
   19611.00      -8.426987       7.316773    
   19616.00      -8.485474       7.313476    
   19621.00      -8.547999       7.310180    
   19626.00      -8.615092       7.306887    
   19631.00      -8.687511       7.303595    
   19636.00      -8.766091       7.300306    
   19641.00      -8.852021       7.297017    
   19646.00      -8.946712       7.293732    
   19651.00      -9.052163       7.290448    
   19656.00      -9.171142       7.287165    
   19661.00      -9.307459       7.283885    
   19666.00      -9.467108       7.280605    
   19671.00      -9.659472       7.277329    
   19676.00      -9.901565       7.274053    
   19681.00      -10.22775       7.270781    
   19686.00      -10.72949       7.267509    
   19691.00      -11.85877       7.264239    
   19696.00      -11.63698       10.26556    
   19700.00      -10.78602       10.26213    
   19701.00      -10.65448       10.26127    
   19706.00      -10.17900       10.25699    
   19711.00      -9.861933       10.25271    
   19716.00      -9.623733       10.24843    
   19721.00      -9.432700       10.24415    
   19726.00      -9.273278       10.23988    
   19731.00      -9.136370       10.23561    
   19736.00      -9.016466       10.23134    
   19741.00      -8.909769       10.22707    
   19746.00      -8.813621       10.22280    
   19751.00      -8.726183       10.21854    
   19756.00      -8.645956       10.21428    
   19761.00      -8.571896       10.21002    
   19766.00      -8.503078       10.20576    
   19771.00      -8.438861       10.20151    
   19776.00      -8.378652       10.19725    
   19781.00      -8.321964       10.19300    
   19786.00      -8.268454       10.18876    
   19791.00      -8.217752       10.18451    
   19800.00      -8.132788       10.17687    
   19900.00      -7.502255       10.09247    
   20000.00      -7.146405       10.00893    
   20100.00      -6.923654       9.926232    
   20200.00      -6.799223       9.844369    
   20300.00      -6.784122       9.763333    
   20375.00      -6.900183       9.703092    
   20380.00      -6.915355       9.699092    
   20385.00      -6.931985       9.695093    
   20390.00      -6.950223       9.691098    
   20395.00      -6.970280       9.687103    
   20400.00      -6.992375       9.683112    
   20405.00      -7.016812       9.679122    
   20410.00      -7.043923       9.675135    
   20415.00      -7.074173       9.671148    
   20420.00      -7.108103       9.667165    
   20425.00      -7.146458       9.663184    
   20430.00      -7.190240       9.659204    
   20435.00      -7.240775       9.655227    
   20440.00      -7.300053       9.651250    
   20445.00      -7.370979       9.647277    
   20450.00      -7.458380       9.643304    
   20455.00      -7.570668       9.639336    
   20460.00      -7.725314       9.635368    
   20465.00      -7.968777       9.631402    
   20470.00      -8.536724       9.627439    
   20475.00      -8.377314       11.11436    
   20480.00      -7.892848       11.11023    
   20485.00      -7.651157       11.10610    
   20490.00      -7.486865       11.10197    
   20495.00      -7.361127       11.09784    
   20500.00      -7.258670       11.09372    
   20505.00      -7.171751       11.08960    
   20510.00      -7.095942       11.08548    
   20515.00      -7.028542       11.08136    
   20520.00      -6.967656       11.07724    
   20525.00      -6.912038       11.07313    
   20530.00      -6.860704       11.06902    
   20535.00      -6.812987       11.06491    
   20540.00      -6.768304       11.06080    
   20545.00      -6.726261       11.05669    
   20550.00      -6.686497       11.05259    
   20555.00      -6.648719       11.04848    
   20560.00      -6.612727       11.04438    
   20565.00      -6.578299       11.04028    
   20570.00      -6.545301       11.03618    
   20600.00      -6.370504       11.01164    
   20700.00      -5.945650       10.93030    
   20800.00      -5.634320       10.84969    
   20900.00      -5.379414       10.76981    
   21000.00      -5.167723       10.69073    
   21100.00      -4.973082       10.61240    
   21200.00      -4.852006       10.53502    
   21300.00      -4.692252       10.46073    
   21400.00      -4.544639       10.38718    
   21500.00      -4.407328       10.31435    
   21600.00      -4.278849       10.24226    
   21700.00      -4.158082       10.17087    
   21800.00      -4.044124       10.10018    
   21900.00      -3.936235       10.03018    
   22000.00      -3.833811       9.960864    
   22100.00      -3.736339       9.892220    
   22200.00      -3.643387       9.824240    
   22300.00      -3.554938       9.756914    
   22400.00      -3.469954       9.690234    
   22500.00      -3.391938       9.624211    
   22600.00      -3.313795       9.558843    
   22700.00      -3.238722       9.494093    
   22800.00      -3.166521       9.429957    
   22900.00      -3.097014       9.366424    
   23000.00      -3.030042       9.303487    
   23100.00      -2.965460       9.241138    
   23200.00      -2.903137       9.179368    
   23300.00      -2.842954       9.118174    
   23400.00      -2.784799       9.057543    
   23500.00      -2.728571       8.997472    
   23600.00      -2.674178       8.937951    
   23700.00      -2.621533       8.878975    
   23800.00      -2.570559       8.820539    
   23900.00      -2.521178       8.762630    
   24000.00      -2.473322       8.705247    
   24100.00      -2.426928       8.648382    
   24200.00      -2.381936       8.592028    
   24300.00      -2.338289       8.536180    
   24400.00      -2.295933       8.480829    
   24500.00      -2.254819       8.425972    
   24600.00      -2.214902       8.371601    
   24700.00      -2.176136       8.317712    
   24800.00      -2.138480       8.264298    
   24900.00      -2.101875       8.211353    
