  Element 84: Po      Atomic mass:  209.0000

  Edge          keV         A
    K        93.1050    0.1332
    L-I      16.9393    0.7319
    L-II     16.2443    0.7632
    L-III    13.8138    0.8975
    M1        4.1494    2.9880
    M2        3.8541    3.2169
    M3        3.3019    3.7549
    M4        2.7980    4.4312
    M5        2.6830    4.6211

Scattering factors as a function of energy: 

   11700.00      -5.817446       5.199747    
   11800.00      -5.915103       5.129413    
   11900.00      -6.017347       5.060566    
   12000.00      -6.124666       4.993161    
   12100.00      -6.237628       4.927157    
   12200.00      -6.358685       4.862548    
   12300.00      -6.485102       4.799273    
   12400.00      -6.619606       4.737283    
   12500.00      -6.763387       4.676543    
   12600.00      -6.917912       4.617019    
   12700.00      -7.085034       4.558677    
   12800.00      -7.267135       4.501484    
   12900.00      -7.467342       4.445410    
   13000.00      -7.689890       4.390424    
   13100.00      -7.940696       4.336498    
   13200.00      -8.228393       4.283604    
   13300.00      -8.567561       4.231723    
   13400.00      -8.977859       4.180826    
   13500.00      -9.501508       4.130881    
   13600.00      -10.22818       4.081866    
   13700.00      -11.42676       4.033755    
   13716.00      -11.71583       4.026140    
   13721.00      -11.81605       4.023765    
   13726.00      -11.92188       4.021392    
   13731.00      -12.03399       4.019021    
   13736.00      -12.15314       4.016653    
   13741.00      -12.28030       4.014286    
   13746.00      -12.41659       4.011922    
   13751.00      -12.56343       4.009560    
   13756.00      -12.72254       4.007200    
   13761.00      -12.89621       4.004842    
   13766.00      -13.08733       4.002487    
   13771.00      -13.29976       4.000134    
   13776.00      -13.53882       3.997782    
   13781.00      -13.81210       3.995433    
   13786.00      -14.13098       3.993086    
   13791.00      -14.51367       3.990741    
   13796.00      -14.99194       3.988399    
   13800.00      -15.48436       3.986526    
   13801.00      -15.62988       3.986059    
   13806.00      -16.58944       3.983721    
   13811.00      -18.57722       3.981384    
   13816.00      -19.06335       10.10292    
   13821.00      -16.74559       10.09681    
   13826.00      -15.71270       10.09071    
   13831.00      -15.03893       10.08461    
   13836.00      -14.53769       10.07852    
   13841.00      -14.13831       10.07243    
   13846.00      -13.80612       10.06635    
   13851.00      -13.52171       10.06027    
   13856.00      -13.27303       10.05420    
   13861.00      -13.05207       10.04814    
   13866.00      -12.85325       10.04207    
   13871.00      -12.67253       10.03602    
   13876.00      -12.50688       10.02997    
   13881.00      -12.35400       10.02392    
   13886.00      -12.21202       10.01789    
   13891.00      -12.07950       10.01185    
   13896.00      -11.95526       10.00582    
   13900.00      -11.86119       10.00100    
   13901.00      -11.83834       9.999796    
   13906.00      -11.72791       9.993777    
   13911.00      -11.62330       9.987763    
   14000.00      -10.33634       9.881577    
   14100.00      -9.491827       9.764180    
   14200.00      -8.912998       9.648767    
   14300.00      -8.480357       9.535293    
   14400.00      -8.143832       9.423805    
   14500.00      -7.868119       9.314179    
   14600.00      -7.641919       9.206367    
   14700.00      -7.454980       9.100330    
   14800.00      -7.300661       8.996027    
   14900.00      -7.174456       8.893424    
   15000.00      -7.073336       8.792481    
   15100.00      -6.995377       8.693166    
   15200.00      -6.939558       8.595444    
   15300.00      -6.905683       8.499280    
   15400.00      -6.894433       8.404643    
   15500.00      -6.907541       8.311500    
   15600.00      -6.948183       8.219819    
   15700.00      -7.021767       8.129574    
   15800.00      -7.137585       8.040731    
   15900.00      -7.312621       7.953266    
   16000.00      -7.584196       7.867150    
   16100.00      -8.041510       7.782372    
   16147.00      -8.402965       7.742975    
   16152.00      -8.452152       7.738800    
   16157.00      -8.504223       7.734629    
   16162.00      -8.559556       7.730460    
   16167.00      -8.618515       7.726295    
   16172.00      -8.681629       7.722133    
   16177.00      -8.749442       7.717975    
   16182.00      -8.822702       7.713820    
   16187.00      -8.902352       7.709668    
   16192.00      -8.989491       7.705519    
   16197.00      -9.085695       7.701373    
   16200.00      -9.148559       7.698886    
