  Element 66: Dy      Atomic mass:  162.5000

  Edge          keV         A
    K        53.7885    0.2305
    L-I       9.0458    1.3706
    L-II      8.5806    1.4449
    L-III     7.7901    1.5916
    M1        2.0468    6.0575
    M2        1.8418    6.7317
    M3        1.6756    7.3994
    M4        1.3325    9.3046
    M5        1.2949    9.5748

Scattering factors as a function of energy: 

   9003.000      -7.788055       11.19015    
   9008.000      -7.833290       11.18047    
   9013.000      -7.888250       11.17079    
   9018.000      -7.956326       11.16113    
   9023.000      -8.042657       11.15147    
   9028.000      -8.156266       11.14182    
   9033.000      -8.315261       11.13218    
   9038.000      -8.565537       11.12255    
   9043.000      -9.107335       11.11293    
   9048.000      -9.220518       12.83648    
   9053.000      -8.544319       12.82641    
   9058.000      -8.231636       12.81634    
   9063.000      -8.020573       12.80628    
   9068.000      -7.858433       12.79623    
   9073.000      -7.725209       12.78619    
   9078.000      -7.611134       12.77616    
   9083.000      -7.510701       12.76613    
   9088.000      -7.420496       12.75611    
   9093.000      -7.338257       12.74611    
   9098.000      -7.262418       12.73611    
   9100.000      -7.233587       12.73211    
   9103.000      -7.191807       12.72612    
   9108.000      -7.125581       12.71613    
   9113.000      -7.063083       12.70616    
   9118.000      -7.003794       12.69619    
   9123.000      -6.947302       12.68623    
   9128.000      -6.893271       12.67628    
   9133.000      -6.841424       12.66634    
   9138.000      -6.791541       12.65641    
   9143.000      -6.743407       12.64649    
   9200.000      -6.281121       12.53393    
   9300.000      -5.675074       12.33904    
   9400.000      -5.197264       12.14739    
   9500.000      -4.794222       11.95892    
   9600.000      -4.442872       11.77357    
   9700.000      -4.130569       11.59130    
   9800.000      -3.849382       11.41205    
   9900.000      -3.593900       11.23578    
   10000.00      -3.360194       11.06244    
   10100.00      -3.145294       10.89199    
   10200.00      -2.943672       10.72415    
   10300.00      -2.759695       10.55900    
   10400.00      -2.588836       10.39658    
   10500.00      -2.429818       10.23685    
   10600.00      -2.281566       10.07978    
   10700.00      -2.143158       9.925330    
   10800.00      -2.013794       9.773458    
   10900.00      -1.892779       9.624133    
   11000.00      -1.779499       9.477315    
   11100.00      -1.673412       9.332971    
   11200.00      -1.669857       9.194970    
   11300.00      -1.579410       9.064324    
   11400.00      -1.494199       8.936335    
   11500.00      -1.413865       8.810925    
   11600.00      -1.338087       8.688025    
   11700.00      -1.266571       8.567567    
   11800.00      -1.218977       8.450173    
   11900.00      -1.155919       8.336169    
   12000.00      -1.096492       8.224502    
   12100.00      -1.040052       8.115106    
   12200.00     -0.9866236       8.007919    
   12300.00     -0.9360286       7.902882    
   12400.00     -0.8881033       7.799936    
   12500.00     -0.8426948       7.699024    
   12600.00     -0.7996625       7.600092    
   12700.00     -0.7588755       7.503089    
   12800.00     -0.7202111       7.407962    
   12900.00     -0.6835562       7.314665    
   13000.00     -0.6488041       7.223148    
   13100.00     -0.6158558       7.133365    
   13200.00     -0.5846187       7.045274    
   13300.00     -0.5550053       6.958830    
   13400.00     -0.5269347       6.873993    
   13500.00     -0.5003296       6.790722    
   13600.00     -0.4751183       6.708977    
   13700.00     -0.4512335       6.628722    
   13800.00     -0.4286108       6.549919    
