  Element 71: Lu      Atomic mass:  174.9670

  Edge          keV         A
    K        63.3138    0.1958
    L-I      10.8704    1.1406
    L-II     10.3486    1.1981
    L-III     9.2441    1.3412
    M1        2.4912    4.9769
    M2        2.2635    5.4775
    M3        2.0236    6.1269
    M4        1.6394    7.5628
    M5        1.5885    7.8051

Scattering factors as a function of energy: 

   10788.00      -7.381850       10.80273    
   10793.00      -7.396664       10.79331    
   10798.00      -7.414518       10.78392    
   10800.00      -7.422161       10.78017    
   10803.00      -7.434495       10.77454    
   10808.00      -7.457596       10.76520    
   10813.00      -7.484327       10.75587    
   10818.00      -7.515314       10.74657    
   10823.00      -7.551375       10.73729    
   10828.00      -7.593609       10.72803    
   10833.00      -7.643527       10.71879    
   10838.00      -7.703295       10.70958    
   10843.00      -7.776178       10.70039    
   10848.00      -7.867412       10.69122    
   10853.00      -7.986318       10.68207    
   10858.00      -8.150300       10.67295    
   10863.00      -8.412875       10.66384    
   10868.00      -9.002724       10.65476    
   10873.00      -8.945540       12.34184    
   10878.00      -8.349643       12.33241    
   10883.00      -8.060209       12.32301    
   10888.00      -7.863514       12.31363    
   10893.00      -7.712383       12.30426    
   10898.00      -7.588507       12.29492    
   10900.00      -7.544395       12.29119    
   10903.00      -7.482797       12.28560    
   10908.00      -7.390081       12.27630    
   10913.00      -7.307137       12.26702    
   10918.00      -7.231817       12.25776    
   10923.00      -7.162617       12.24853    
   10928.00      -7.098445       12.23931    
   10933.00      -7.038492       12.23012    
   10938.00      -6.982105       12.22094    
   10943.00      -6.928798       12.21179    
   10948.00      -6.878176       12.20266    
   10953.00      -6.829915       12.19354    
   10958.00      -6.783749       12.18445    
   10963.00      -6.739456       12.17538    
   10968.00      -6.696848       12.16633    
   11000.00      -6.455250       12.10888    
   11100.00      -5.894202       11.93457    
   11200.00      -5.477066       11.76782    
   11300.00      -5.136354       11.60826    
   11400.00      -4.845661       11.45550    
   11500.00      -4.591213       11.30922    
   11600.00      -4.364659       11.16910    
   11700.00      -4.160396       11.03485    
   11800.00      -3.974414       10.90617    
