  Element 48: Cd      Atomic mass:  112.4100

  Edge          keV         A
    K        26.7112    0.4642
    L-I       4.0180    3.0857
    L-II      3.7270    3.3266
    L-III     3.5375    3.5049

Scattering factors as a function of energy: 

   19400.00      -1.014419      0.9977845    
   19500.00      -1.026951      0.9885780    
   19600.00      -1.039585      0.9794997    
   19700.00      -1.052325      0.9705473    
   19800.00      -1.065176      0.9617186    
   19900.00      -1.078144      0.9530110    
   20000.00      -1.091234      0.9444223    
   20100.00      -1.104453      0.9359505    
   20200.00      -1.117805      0.9275933    
   20300.00      -1.131297      0.9193489    
   20400.00      -1.144937      0.9112149    
   20500.00      -1.158731      0.9031894    
   20600.00      -1.172685      0.8952705    
   20700.00      -1.186809      0.8874564    
   20800.00      -1.201108      0.8797452    
   20900.00      -1.215593      0.8721349    
   21000.00      -1.230271      0.8646238    
   21100.00      -1.245153      0.8572103    
   21200.00      -1.260247      0.8498926    
   21300.00      -1.275563      0.8426691    
   21400.00      -1.291113      0.8355380    
   21500.00      -1.306908      0.8284979    
   21600.00      -1.322961      0.8215471    
   21700.00      -1.339283      0.8146841    
   21800.00      -1.355888      0.8079076    
   21900.00      -1.372791      0.8012159    
   22000.00      -1.390007      0.7946076    
   22100.00      -1.407552      0.7880814    
   22200.00      -1.425444      0.7816359    
   22300.00      -1.443701      0.7752699    
   22400.00      -1.462343      0.7689818    
   22500.00      -1.481391      0.7627704    
   22600.00      -1.500868      0.7566345    
   22700.00      -1.520799      0.7505729    
   22800.00      -1.541208      0.7445844    
   22900.00      -1.562127      0.7386677    
   23000.00      -1.583584      0.7328217    
   23100.00      -1.605613      0.7270453    
   23200.00      -1.628250      0.7213374    
   23300.00      -1.651535      0.7156969    
   23400.00      -1.675510      0.7101226    
   23500.00      -1.700223      0.7046137    
   23600.00      -1.725724      0.6991689    
   23700.00      -1.752070      0.6937873    
   23800.00      -1.779323      0.6884682    
   23900.00      -1.807554      0.6832101    
   24000.00      -1.836837      0.6780125    
   24100.00      -1.867260      0.6728742    
   24200.00      -1.898916      0.6677943    
   24300.00      -1.931914      0.6627722    
   24400.00      -1.966376      0.6578068    
   24500.00      -2.002439      0.6528971    
   24600.00      -2.040260      0.6480425    
   24700.00      -2.080021      0.6432421    
   24800.00      -2.121929      0.6384951    
   24900.00      -2.166229      0.6338006    
