  Element 56: Ba      Atomic mass:  137.3300

  Edge          keV         A
    K        37.4406    0.3311
    L-I       5.9888    2.0703
    L-II      5.6236    2.2047
    L-III     5.2470    2.3630
    M1        1.2928    9.5904
    M2        1.1367   10.9074
    M3        1.0622   11.6724

Scattering factors as a function of energy: 

   16900.00     -0.2394693       2.426605    
   17000.00     -0.2471880       2.401734    
   17100.00     -0.2549240       2.377248    
   17200.00     -0.2626758       2.353139    
   17300.00     -0.2704415       2.329400    
   17400.00     -0.2782200       2.306022    
   17500.00     -0.2860098       2.282998    
   17600.00     -0.2938097       2.260321    
   17700.00     -0.3016183       2.237984    
   17800.00     -0.3094836       2.215981    
   17900.00     -0.3173064       2.194304    
   18000.00     -0.3251350       2.172947    
   18100.00     -0.3329682       2.151903    
   18200.00     -0.3408053       2.131167    
   18300.00     -0.3486452       2.110733    
   18400.00     -0.3564876       2.090594    
   18500.00     -0.3643315       2.070744    
   18600.00     -0.3721765       2.051178    
   18700.00     -0.3800218       2.031892    
   18800.00     -0.3878668       2.012879    
   18900.00     -0.3957113       1.994133    
   19000.00     -0.4035547       1.975651    
   19100.00     -0.4113967       1.957427    
   19200.00     -0.4192369       1.939456    
   19300.00     -0.4270747       1.921734    
   19400.00     -0.4349103       1.904255    
   19500.00     -0.4427433       1.887016    
   19600.00     -0.4505734       1.870012    
   19700.00     -0.4584005       1.853238    
   19800.00     -0.4662242       1.836691    
   19900.00     -0.4740449       1.820367    
   20000.00     -0.4818622       1.804260    
   20100.00     -0.4896761       1.788368    
   20200.00     -0.4974866       1.772687    
   20300.00     -0.5052936       1.757213    
   20400.00     -0.5130973       1.741941    
   20500.00     -0.5208978       1.726870    
   20600.00     -0.5286951       1.711994    
   20700.00     -0.5364892       1.697311    
   20800.00     -0.5442804       1.682818    
   20900.00     -0.5520688       1.668510    
   21000.00     -0.5598546       1.654385    
   21100.00     -0.5676379       1.640440    
   21200.00     -0.5754191       1.626671    
   21300.00     -0.5831982       1.613077    
   21400.00     -0.5909757       1.599653    
   21500.00     -0.5987518       1.586396    
   21600.00     -0.6065269       1.573305    
   21700.00     -0.6143011       1.560375    
   21800.00     -0.6220747       1.547606    
   21900.00     -0.6298484       1.534993    
   22000.00     -0.6376224       1.522535    
   22100.00     -0.6453971       1.510228    
   22200.00     -0.6531728       1.498070    
   22300.00     -0.6609499       1.486060    
   22400.00     -0.6687292       1.474194    
   22500.00     -0.6765109       1.462470    
   22600.00     -0.6842947       1.450886    
   22700.00     -0.6942797       1.439446    
   22800.00     -0.7041791       1.428165    
   22900.00     -0.7119654       1.417027    
   23000.00     -0.7197535       1.406019    
   23100.00     -0.7275464       1.395140    
   23200.00     -0.7353449       1.384388    
   23300.00     -0.7431496       1.373761    
   23400.00     -0.7509614       1.363256    
   23500.00     -0.7587808       1.352871    
   23600.00     -0.7666085       1.342606    
   23700.00     -0.7744451       1.332458    
   23800.00     -0.7822912       1.322425    
   23900.00     -0.7901478       1.312505    
   24000.00     -0.7980155       1.302697    
   24100.00     -0.8058950       1.293000    
   24200.00     -0.8137872       1.283410    
   24300.00     -0.8233474       1.273934    
   24400.00     -0.8330761       1.264572    
   24500.00     -0.8410066       1.255329    
   24600.00     -0.8489481       1.246187    
   24700.00     -0.8569057       1.237146    
   24800.00     -0.8648803       1.228204    
   24900.00     -0.8728731       1.219359    
