  Element 57: La      Atomic mass:  138.9055

  Edge          keV         A
    K        38.9246    0.3185
    L-I       6.2663    1.9786
    L-II      5.8906    2.1048
    L-III     5.4827    2.2614
    M1        1.3613    9.1078
    M2        1.2044   10.2943
    M3        1.1234   11.0365

Scattering factors as a function of energy: 

   12100.00      1.2772381E-02   4.618077    
   12200.00      1.4629270E-02   4.554460    
   12300.00      1.5951989E-02   4.492170    
   12400.00      1.6769700E-02   4.431173    
   12500.00      1.7109917E-02   4.371430    
   12600.00      1.4950100E-02   4.312969    
   12700.00      1.4376624E-02   4.255725    
   12800.00      1.3402490E-02   4.199637    
   12900.00      1.2049499E-02   4.144675    
   13000.00      1.0338188E-02   4.090806    
   13100.00      8.2879895E-03   4.038002    
   13200.00      5.9172818E-03   3.986235    
   13300.00      3.2433663E-03   3.935476    
   13400.00      2.8269601E-04   3.885701    
   13500.00     -2.9492709E-03   3.836882    
   13600.00     -6.4378283E-03   3.788996    
   13700.00     -1.0169046E-02   3.742018    
   13800.00     -1.4129844E-02   3.695924    
   13900.00     -1.8307690E-02   3.650694    
   14000.00     -2.2690864E-02   3.606304    
   14100.00     -2.7268153E-02   3.562733    
   14200.00     -3.2028913E-02   3.519963    
   14300.00     -3.6963198E-02   3.477971    
   14400.00     -4.2061392E-02   3.436741    
   14500.00     -4.7314558E-02   3.396252    
   14600.00     -5.2714061E-02   3.356487    
   14700.00     -5.8226876E-02   3.317428    
   14800.00     -6.3894823E-02   3.279059    
   14900.00     -6.9686174E-02   3.241364    
   15000.00     -7.5593896E-02   3.204325    
   15100.00     -8.1611335E-02   3.167928    
   15200.00     -8.7732166E-02   3.132158    
   15300.00     -9.3950585E-02   3.097001    
   15400.00     -0.1002608       3.062441    
   15500.00     -0.1066575       3.028466    
   15600.00     -0.1131334       2.995063    
   15700.00     -0.1199682       2.962220    
   15800.00     -0.1265930       2.929923    
   15900.00     -0.1332857       2.898159    
   16000.00     -0.1404521       2.866920    
   16100.00     -0.1472655       2.836191    
   16200.00     -0.1541348       2.805962    
   16300.00     -0.1610563       2.776221    
   16400.00     -0.1680270       2.746956    
   16500.00     -0.1750435       2.718159    
   16600.00     -0.1821029       2.689819    
   16700.00     -0.1892023       2.661925    
   16800.00     -0.1963388       2.634470    
   16900.00     -0.2035102       2.607443    
   17000.00     -0.2107138       2.580835    
   17100.00     -0.2179474       2.554638    
   17200.00     -0.2252088       2.528843    
   17300.00     -0.2324957       2.503442    
   17400.00     -0.2398065       2.478426    
   17500.00     -0.2471391       2.453789    
   17600.00     -0.2544918       2.429522    
   17700.00     -0.2618630       2.405617    
   17800.00     -0.2692509       2.382068    
   17900.00     -0.2766543       2.358867    
   18000.00     -0.2840717       2.336007    
   18100.00     -0.2915018       2.313482    
   18200.00     -0.2989432       2.291285    
   18300.00     -0.3063948       2.269410    
   18400.00     -0.3138556       2.247849    
   18500.00     -0.3213246       2.226599    
   18600.00     -0.3288006       2.205651    
