  Element 89: Ac      Atomic mass:  227.0278

  Edge          keV         A
    K       106.7553    0.1161
    L-I      19.8400    0.6249
    L-II     19.0832    0.6497
    L-III    15.8710    0.7812
    M1        5.0020    2.4787
    M2        4.6560    2.6629
    M3        3.9090    3.1718
    M4        3.3702    3.6788
    M5        3.2190    3.8516
    N1        1.2690    9.7702
    N2        1.0800   11.4800

Scattering factors as a function of energy: 

   15904.00      -13.73469       9.957875    
   15909.00      -13.46541       9.952878    
   15914.00      -13.22931       9.947885    
   15919.00      -13.01900       9.942893    
   15924.00      -12.82942       9.937905    
   15929.00      -12.65682       9.932920    
   15934.00      -12.49841       9.927938    
   15939.00      -12.35202       9.922959    
   15944.00      -12.21595       9.917984    
   15949.00      -12.08884       9.913012    
   15954.00      -11.96957       9.908042    
   15959.00      -11.85726       9.903077    
   15964.00      -11.75109       9.898114    
   15969.00      -11.65045       9.893154    
   16000.00      -11.12177       9.862473    
   16100.00      -10.01684       9.764313    
   16200.00      -9.322061       9.667377    
   16300.00      -8.818108       9.571651    
   16400.00      -8.426005       9.477112    
   16500.00      -8.108166       9.383743    
   16600.00      -7.843702       9.291530    
   16700.00      -7.619827       9.200454    
   16800.00      -7.430032       9.110516    
   16900.00      -7.264774       9.021681    
   17000.00      -7.127356       8.933995    
   17100.00      -7.003707       8.847420    
   17200.00      -6.897122       8.761901    
   17300.00      -6.805941       8.677425    
   17400.00      -6.728939       8.593974    
   17500.00      -6.665249       8.511534    
   17600.00      -6.614302       8.430091    
   17700.00      -6.575802       8.349630    
   17800.00      -6.549716       8.270140    
   17900.00      -6.536290       8.191603    
   18000.00      -6.536083       8.114007    
   18100.00      -6.550041       8.037339    
   18200.00      -6.579615       7.961586    
   18300.00      -6.626958       7.886735    
   18400.00      -6.695415       7.812772    
   18500.00      -6.789586       7.739686    
   18600.00      -6.917387       7.667465    
   18700.00      -7.092148       7.596096    
   18800.00      -7.339505       7.525568    
   18900.00      -7.719420       7.455867    
   18986.00      -8.298078       7.396578    
   18991.00      -8.347080       7.393150    
   18996.00      -8.398929       7.389722    
   19000.00      -8.442652       7.386983    
   19001.00      -8.453916       7.386298    
   19006.00      -8.512478       7.382875    
   19011.00      -8.575047       7.379455    
   19016.00      -8.642246       7.376036    
   19021.00      -8.714735       7.372620    
   19026.00      -8.793429       7.369206    
   19031.00      -8.879497       7.365793    
   19036.00      -8.974349       7.362383    
   19041.00      -9.080036       7.358974    
   19046.00      -9.199205       7.355568    
   19051.00      -9.335861       7.352162    
   19056.00      -9.495803       7.348761    
   19061.00      -9.688690       7.345359    
   19066.00      -9.931284       7.341961    
   19071.00      -10.25829       7.338566    
   19076.00      -10.76134       7.335170    
   19081.00      -11.89371       7.331779    
   19086.00      -11.67029       10.34133    
   19091.00      -10.68563       10.33692    
   19096.00      -10.20861       10.33252    
   19100.00      -9.946476       10.32899    
   19101.00      -9.890731       10.32811    
   19106.00      -9.651713       10.32371    
   19111.00      -9.460159       10.31931    
   19116.00      -9.300224       10.31492    
   19121.00      -9.162867       10.31052    
   19126.00      -9.042563       10.30613    
   19131.00      -8.935467       10.30174    
   19136.00      -8.839026       10.29735    
   19141.00      -8.751254       10.29296    
   19146.00      -8.670777       10.28858    
   19151.00      -8.596455       10.28420    
   19156.00      -8.527391       10.27982    
   19161.00      -8.462943       10.27544    
   19166.00      -8.402494       10.27107    
   19171.00      -8.345624       10.26669    
   19176.00      -8.291899       10.26232    
   19181.00      -8.241034       10.25796    
   19200.00      -8.069140       10.24138    
   19300.00      -7.479214       10.15466    
   19400.00      -7.140604       10.06883    
   19500.00      -6.931998       9.983871    
   19600.00      -6.826751       9.899781    
