  Element 75: Re      Atomic mass:  186.2070

  Edge          keV         A
    K        71.6764    0.1730
    L-I      12.5267    0.9898
    L-II     11.9587    1.0368
    L-III    10.5353    1.1768
    M1        2.9317    4.2291
    M2        2.6816    4.6235
    M3        2.3673    5.2374
    M4        1.9489    6.3618
    M5        1.8829    6.5847

Scattering factors as a function of energy: 

   13500.00      -3.845666       10.92154    
   13600.00      -3.670695       10.79734    
   13700.00      -3.505151       10.67528    
   13800.00      -3.353116       10.55513    
   13900.00      -3.210584       10.43701    
   14000.00      -3.076663       10.32089    
   14100.00      -2.950535       10.20671    
   14200.00      -2.831504       10.09442    
   14300.00      -2.718963       9.983985    
   14400.00      -2.612390       9.875359    
   14500.00      -2.511320       9.768497    
   14600.00      -2.415348       9.663359    
   14700.00      -2.324113       9.559908    
   14800.00      -2.237288       9.458102    
   14900.00      -2.154583       9.357908    
   15000.00      -2.075734       9.259287    
   15100.00      -2.000503       9.162205    
   15200.00      -1.928673       9.066628    
   15300.00      -1.860046       8.972524    
   15400.00      -1.794439       8.879859    
   15500.00      -1.731688       8.788604    
   15600.00      -1.659212       8.698297    
   15700.00      -1.601435       8.608949    
   15800.00      -1.546481       8.520901    
   15900.00      -1.493514       8.434125    
   16000.00      -1.442777       8.348596    
   16100.00      -1.394168       8.264289    
   16200.00      -1.347586       8.181180    
   16300.00      -1.328056       8.099486    
   16400.00      -1.285954       8.020294    
   16500.00      -1.245551       7.942290    
   16600.00      -1.206766       7.865451    
   16700.00      -1.169528       7.789752    
   16800.00      -1.133768       7.715173    
   16900.00      -1.099420       7.641687    
   17000.00      -1.066423       7.569274    
   17100.00      -1.034721       7.497914    
   17200.00      -1.004258       7.427585    
   17300.00     -0.9749836       7.358268    
   17400.00     -0.9468479       7.289942    
   17500.00     -0.9198052       7.222587    
   17600.00     -0.8938114       7.156186    
   17700.00     -0.8688249       7.090720    
   17800.00     -0.8448065       7.026172    
   17900.00     -0.8217176       6.962522    
   18000.00     -0.7995228       6.899755    
   18100.00     -0.7781879       6.837854    
   18200.00     -0.7576805       6.776803    
   18300.00     -0.7379698       6.716588    
   18400.00     -0.7190254       6.657189    
   18500.00     -0.7008471       6.598594    
   18600.00     -0.6833525       6.540787    
   18700.00     -0.6665437       6.483755    
   18800.00     -0.6503964       6.427484    
   18900.00     -0.6348863       6.371958    
   19000.00     -0.6199912       6.317166    
   19100.00     -0.6056895       6.263093    
   19200.00     -0.5919604       6.209727    
   19300.00     -0.5787843       6.157057    
   19400.00     -0.5661418       6.105068    
   19500.00     -0.5540149       6.053750    
   19600.00     -0.5423859       6.003089    
   19700.00     -0.5312383       5.953076    
   19800.00     -0.5205559       5.903700    
   19900.00     -0.5103229       5.854948    
   20000.00     -0.5005246       5.806809    
   20100.00     -0.4911467       5.759275    
   20200.00     -0.4821753       5.712334    
   20300.00     -0.4735975       5.665977    
   20400.00     -0.4654002       5.620193    
   20500.00     -0.4575712       5.574974    
   20600.00     -0.4500987       5.530308    
   20700.00     -0.4429718       5.486188    
   20800.00     -0.4366522       5.442606    
   20900.00     -0.4301821       5.399551    
   21000.00     -0.4240254       5.357015    
   21100.00     -0.4188734       5.314995    
   21200.00     -0.4133169       5.273489    
   21300.00     -0.4080451       5.232479    
   21400.00     -0.4030490       5.191953    
   21500.00     -0.3983203       5.151906    
   21600.00     -0.3938507       5.112329    
   21700.00     -0.3896323       5.073215    
   21800.00     -0.3856575       5.034557    
   21900.00     -0.3819188       4.996347    
   22000.00     -0.3784091       4.958579    
   22100.00     -0.3751217       4.921246    
   22200.00     -0.3720497       4.884339    
   22300.00     -0.3691868       4.847855    
   22400.00     -0.3665266       4.811785    
   22500.00     -0.3640633       4.776122    
