  Element 82: Pb      Atomic mass:  207.2000

  Edge          keV         A
    K        88.0045    0.1409
    L-I      15.8608    0.7817
    L-II     15.2000    0.8157
    L-III    13.0352    0.9511
    M1        3.8507    3.2198
    M2        3.5542    3.4884
    M3        3.0664    4.0433
    M4        2.5856    4.7952
    M5        2.4840    4.9913

Scattering factors as a function of energy: 

   15103.00      -8.478352       7.887363    
   15108.00      -8.527699       7.882827    
   15113.00      -8.580008       7.878295    
   15118.00      -8.635624       7.873766    
   15123.00      -8.694963       7.869241    
   15128.00      -8.758522       7.864720    
   15133.00      -8.826906       7.860202    
   15138.00      -8.900846       7.855690    
   15143.00      -8.981304       7.851179    
   15148.00      -9.069459       7.846673    
   15153.00      -9.166867       7.842170    
   15158.00      -9.275609       7.837671    
   15163.00      -9.398561       7.833176    
   15168.00      -9.539857       7.828684    
   15173.00      -9.705750       7.824196    
   15178.00      -9.906368       7.819712    
   15183.00      -10.15971       7.815232    
   15188.00      -10.50312       7.810755    
   15193.00      -11.03629       7.806281    
   15198.00      -12.27981       7.801812    
   15200.00      -19.89497       7.800025    
   15203.00      -11.88218       10.93296    
   15208.00      -10.89864       10.92687    
   15213.00      -10.41015       10.92078    
   15218.00      -10.08177       10.91469    
   15223.00      -9.833793       10.90861    
   15228.00      -9.634268       10.90254    
   15233.00      -9.467242       10.89647    
   15238.00      -9.323532       10.89041    
   15243.00      -9.197375       10.88435    
   15248.00      -9.084918       10.87829    
   15253.00      -8.983457       10.87224    
   15258.00      -8.891018       10.86620    
   15263.00      -8.806136       10.86016    
   15268.00      -8.727637       10.85413    
   15273.00      -8.654638       10.84810    
   15278.00      -8.586421       10.84207    
   15283.00      -8.522398       10.83605    
   15288.00      -8.462088       10.83004    
   15293.00      -8.405087       10.82403    
   15298.00      -8.351056       10.81803    
   15300.00      -8.330212       10.81563    
   15400.00      -7.620308       10.69661    
   15500.00      -7.237508       10.57963    
   15600.00      -7.014822       10.46455    
   15700.00      -6.943008       10.35131    
   15763.00      -7.019442       10.28091    
   15768.00      -7.032726       10.27535    
   15773.00      -7.047565       10.26980    
   15778.00      -7.064128       10.26425    
   15783.00      -7.082619       10.25870    
   15788.00      -7.103282       10.25317    
   15793.00      -7.126413       10.24763    
   15798.00      -7.152375       10.24210    
   15800.00      -7.163651       10.23989    
   15803.00      -7.181626       10.23657    
   15808.00      -7.214738       10.23105    
   15813.00      -7.252479       10.22553    
   15818.00      -7.295848       10.22002    
   15823.00      -7.346227       10.21451    
   15828.00      -7.405589       10.20901    
   15833.00      -7.476894       10.20351    
   15838.00      -7.564875       10.19801    
   15843.00      -7.677819       10.19252    
   15848.00      -7.832318       10.18704    
   15853.00      -8.070564       10.18156    
   15858.00      -8.576334       10.17608    
   15863.00      -8.689238       11.76126    
   15868.00      -8.076991       11.75554    
   15873.00      -7.798182       11.74982    
   15878.00      -7.612582       11.74411    
   15883.00      -7.471778       11.73840    
   15888.00      -7.357438       11.73269    
   15893.00      -7.260560       11.72699    
   15898.00      -7.176117       11.72130    
   15900.00      -7.145083       11.71902    
   15903.00      -7.100981       11.71560    
   15908.00      -7.033075       11.70991    
   15913.00      -6.970953       11.70423    
   15918.00      -6.913568       11.69855    
   15923.00      -6.860133       11.69287    
   15928.00      -6.810047       11.68720    
   15933.00      -6.762845       11.68154    
   15938.00      -6.718132       11.67587    
   15943.00      -6.675610       11.67021    
   15948.00      -6.635046       11.66456    
   15953.00      -6.596169       11.65891    
   15958.00      -6.558864       11.65326    
   16000.00      -6.290524       11.60599    
   16100.00      -5.824814       11.49460    
   16200.00      -5.473437       11.38481    
   16300.00      -5.182294       11.27659    
   16400.00      -4.930172       11.16990    
   16500.00      -4.706217       11.06472    
   16600.00      -4.503967       10.96102    
   16700.00      -4.321594       10.85878    
   16800.00      -4.152118       10.75799    
   16900.00      -3.994193       10.65860    
   17000.00      -3.861767       10.56105    
   17100.00      -3.724159       10.46526    
   17200.00      -3.594812       10.37080    
   17300.00      -3.472860       10.27766    
   17400.00      -3.357573       10.18580    
   17500.00      -3.248344       10.09519    
   17600.00      -3.144649       10.00582    
   17700.00      -3.046034       9.917654    
   17800.00      -2.952107       9.830678    
   17900.00      -2.862517       9.744864    
   18000.00      -2.776959       9.660192    
   18100.00      -2.695157       9.576639    
   18200.00      -2.616868       9.494186    
   18300.00      -2.541870       9.412812    
   18400.00      -2.469962       9.332496    
   18500.00      -2.400962       9.253219    
   18600.00      -2.334706       9.174961    
   18700.00      -2.271041       9.097705    
   18800.00      -2.209830       9.021434    
   18900.00      -2.150941       8.946127    
   19000.00      -2.094259       8.871768    
   19100.00      -2.039673       8.798342    
   19200.00      -1.987082       8.725830    
   19300.00      -1.936392       8.654220    
   19400.00      -1.887513       8.583490    
   19500.00      -1.840365       8.513630    
   19600.00      -1.794869       8.444623    
   19700.00      -1.750955       8.376454    
   19800.00      -1.698938       8.308914    
   19900.00      -1.657806       8.241882    
   20000.00      -1.618082       8.175634    
   20100.00      -1.579713       8.110159    
   20200.00      -1.542644       8.045443    
   20300.00      -1.506827       7.981475    
   20400.00      -1.472213       7.918242    
   20500.00      -1.438757       7.855733    
   20600.00      -1.406408       7.793937    
   20700.00      -1.394611       7.733609    
   20800.00      -1.364791       7.674179    
   20900.00      -1.335937       7.615454    
   21000.00      -1.308015       7.557425    
   21100.00      -1.280991       7.500080    
   21200.00      -1.254834       7.443409    
   21300.00      -1.229512       7.387402    
   21400.00      -1.204996       7.332045    
   21500.00      -1.181258       7.277330    
   21600.00      -1.158273       7.223247    
   21700.00      -1.136014       7.169785    
   21800.00      -1.114457       7.116936    
   21900.00      -1.093580       7.064689    
   22000.00      -1.073359       7.013034    
   22100.00      -1.053773       6.961963    
   22200.00      -1.034803       6.911467    
   22300.00      -1.016428       6.861537    
   22400.00     -0.9986286       6.812164    
   22500.00     -0.9813879       6.763339    
   22600.00     -0.9646881       6.715055    
   22700.00     -0.9485125       6.667303    
   22800.00     -0.9328453       6.620076    
   22900.00     -0.9176704       6.573365    
   23000.00     -0.9029732       6.527162    
   23100.00     -0.8887395       6.481461    
   23200.00     -0.8749554       6.436253    
   23300.00     -0.8616078       6.391532    
   23400.00     -0.8486835       6.347290    
   23500.00     -0.8361703       6.303519    
   23600.00     -0.8240563       6.260215    
   23700.00     -0.8123301       6.217369    
   23800.00     -0.8009806       6.174976    
   23900.00     -0.7899969       6.133027    
   24000.00     -0.7793688       6.091518    
   24100.00     -0.7690862       6.050441    
   24200.00     -0.7591395       6.009791    
   24300.00     -0.7495196       5.969563    
   24400.00     -0.7402171       5.929749    
   24500.00     -0.7312234       5.890343    
   24600.00     -0.7225301       5.851341    
   24700.00     -0.7141291       5.812736    
   24800.00     -0.7060125       5.774524    
   24900.00     -0.6981726       5.736698    
