  Element 44: Ru      Atomic mass:  101.0700

  Edge          keV         A
    K        22.1172    0.5606
    L-I       3.2240    3.8457
    L-II      2.9669    4.1789
    L-III     2.8379    4.3689

Scattering factors as a function of energy: 

   22080.00      -5.605009      0.5468416    
   22085.00      -5.746300      0.5466140    
   22090.00      -5.911787      0.5463865    
   22095.00      -6.111207      0.5461591    
   22100.00      -6.362222      0.5459319    
   22105.00      -6.700502      0.5457049    
   22110.00      -7.220975      0.5454780    
   22115.00      -8.392780      0.5452513    
   22120.00      -8.163956       3.665064    
   22125.00      -7.143647       3.663516    
   22130.00      -6.649228       3.661969    
   22135.00      -6.319332       3.660424    
   22140.00      -6.071330       3.658880    
   22145.00      -5.872304       3.657337    
   22150.00      -5.706095       3.655796    
   22155.00      -5.563251       3.654256    
   22160.00      -5.438051       3.652718    
   22165.00      -5.326509       3.651181    
   22170.00      -5.225982       3.649645    
   22175.00      -5.134442       3.648111    
   22180.00      -5.050369       3.646578    
   22185.00      -4.972679       3.645047    
   22190.00      -4.900411       3.643517    
   22195.00      -4.832896       3.641988    
   22200.00      -4.769497       3.640461    
   22205.00      -4.709777       3.638935    
   22210.00      -4.653308       3.637411    
   22215.00      -4.599730       3.635887    
   22300.00      -3.956826       3.610203    
   22400.00      -3.502634       3.580482    
   22500.00      -3.184456       3.551288    
   22600.00      -2.938943       3.522609    
   22700.00      -2.738926       3.494431    
   22800.00      -2.570195       3.466746    
   22900.00      -2.424354       3.439540    
   23000.00      -2.296027       3.412803    
   23100.00      -2.181554       3.386525    
   23200.00      -2.078342       3.360696    
   23300.00      -1.984417       3.335307    
   23400.00      -1.898364       3.310346    
   23500.00      -1.819023       3.285805    
   23600.00      -1.745489       3.261676    
   23700.00      -1.677027       3.237948    
   23800.00      -1.613036       3.214615    
   23900.00      -1.553013       3.191666    
   24000.00      -1.496536       3.169095    
   24100.00      -1.443248       3.146892    
   24200.00      -1.392839       3.125051    
   24300.00      -1.345046       3.103565    
   24400.00      -1.299633       3.082425    
   24500.00      -1.256398       3.061625    
   24600.00      -1.215161       3.041157    
   24700.00      -1.175761       3.021015    
   24800.00      -1.138056       3.001193    
   24900.00      -1.101915       2.981684    
