  Element 43: Tc      Atomic mass:   98.0000

  Edge          keV         A
    K        21.0440    0.5892
    L-I       3.0425    4.0751
    L-II      2.7932    4.4388
    L-III     2.6769    4.6316

Scattering factors as a function of energy: 

   23900.00      -1.023551       2.942472    
   24000.00     -0.9903939       2.922236    
   24100.00     -0.9585712       2.902304    
   24200.00     -0.9279938       2.882669    
   24300.00     -0.8985816       2.863328    
   24400.00     -0.8702588       2.844272    
   24500.00     -0.8429576       2.825497    
   24600.00     -0.8166143       2.806997    
   24700.00     -0.7911696       2.788768    
   24800.00     -0.7665688       2.770804    
   24900.00     -0.7427587       2.753099    
