  Element 78: Pt      Atomic mass:  195.0800

  Edge          keV         A
    K        78.3948    0.1582
    L-I      13.8799    0.8933
    L-II     13.2726    0.9341
    L-III    11.5637    1.0722
    M1        3.2960    3.7617
    M2        3.0265    4.0966
    M3        2.6454    4.6868
    M4        2.2019    5.6308
    M5        2.1216    5.8439

Scattering factors as a function of energy: 

   20500.00     -0.7632892       6.488612    
   20600.00     -0.7482191       6.437401    
   20700.00     -0.7336894       6.386811    
   20800.00     -0.7196826       6.336832    
   20900.00     -0.7061812       6.287452    
   21000.00     -0.6931694       6.238662    
   21100.00     -0.6806313       6.190454    
   21200.00     -0.6685520       6.142817    
   21300.00     -0.6569172       6.095743    
   21400.00     -0.6457126       6.049221    
   21500.00     -0.6349248       6.003243    
   21600.00     -0.6245410       5.957802    
   21700.00     -0.6145488       5.912888    
   21800.00     -0.6049364       5.868493    
   21900.00     -0.5956917       5.824608    
   22000.00     -0.5868039       5.781226    
   22100.00     -0.5782622       5.738338    
   22200.00     -0.5700563       5.695939    
   22300.00     -0.5621762       5.654019    
   22400.00     -0.5546120       5.612571    
   22500.00     -0.5473545       5.571589    
   22600.00     -0.5403948       5.531064    
   22700.00     -0.5337241       5.490990    
   22800.00     -0.5273342       5.451361    
   22900.00     -0.5212165       5.412169    
   23000.00     -0.5153636       5.373408    
   23100.00     -0.5097676       5.335072    
   23200.00     -0.5030168       5.297129    
   23300.00     -0.4979089       5.259590    
   23400.00     -0.4930371       5.222456    
   23500.00     -0.4890342       5.185723    
   23600.00     -0.4846090       5.149385    
   23700.00     -0.4804056       5.113436    
   23800.00     -0.4764133       5.077870    
   23900.00     -0.4726261       5.042681    
   24000.00     -0.4690382       5.007864    
   24100.00     -0.4656444       4.973413    
   24200.00     -0.4624391       4.939324    
   24300.00     -0.4594173       4.905591    
   24400.00     -0.4565740       4.872209    
   24500.00     -0.4539042       4.839173    
   24600.00     -0.4514033       4.806479    
   24700.00     -0.4490667       4.774120    
   24800.00     -0.4468901       4.742095    
   24900.00     -0.4448690       4.710395    
