  Element 87: Fr      Atomic mass:  223.0000

  Edge          keV         A
    K       101.1370    0.1226
    L-I      18.6390    0.6652
    L-II     17.9065    0.6924
    L-III    15.0312    0.8248
    M1        4.6520    2.6652
    M2        4.3270    2.8654
    M3        3.6630    3.3848
    M4        3.1362    3.9533
    M5        2.9997    4.1332
    N1        1.1530   10.7532

Scattering factors as a function of energy: 

   12700.00      -5.782579       5.278482    
   12800.00      -5.868609       5.212774    
   12900.00      -5.958295       5.148347    
   13000.00      -6.052299       5.085166    
   13100.00      -6.150888       5.023217    
   13200.00      -6.253832       4.962448    
   13300.00      -6.362177       4.902829    
   13400.00      -6.476563       4.844330    
   13500.00      -6.597755       4.786921    
   13600.00      -6.728938       4.730580    
   13700.00      -6.866671       4.675320    
   13800.00      -7.014679       4.621068    
   13900.00      -7.174668       4.567802    
   14000.00      -7.348877       4.515494    
   14100.00      -7.540230       4.464122    
   14200.00      -7.752665       4.413662    
   14300.00      -7.991661       4.364093    
   14400.00      -8.265139       4.315393    
   14500.00      -8.585204       4.267541    
   14600.00      -8.971664       4.220516    
   14700.00      -9.460361       4.174299    
   14800.00      -10.12694       4.128871    
   14900.00      -11.18181       4.084213    
   14934.00      -11.74282       4.069201    
   14939.00      -11.84177       4.067001    
   14944.00      -11.94631       4.064803    
   14949.00      -12.05708       4.062606    
   14954.00      -12.17487       4.060411    
   14959.00      -12.30061       4.058219    
   14964.00      -12.43549       4.056028    
   14969.00      -12.58090       4.053839    
   14974.00      -12.73862       4.051651    
   14979.00      -12.91090       4.049466    
   14984.00      -13.10069       4.047283    
   14989.00      -13.31192       4.045101    
   14994.00      -13.55003       4.042921    
   14999.00      -13.82276       4.040743    
   15000.00      -13.88243       4.040308    
   15004.00      -14.14196       4.038567    
   15009.00      -14.52659       4.036392    
   15014.00      -15.01033       4.034220    
   15019.00      -15.66223       4.032049    
   15024.00      -16.66451       4.029880    
   15029.00      -18.92179       4.027713    
   15034.00      -18.47486       10.02917    
   15039.00      -16.51234       10.02382    
   15044.00      -15.56148       10.01847    
   15049.00      -14.92753       10.01313    
   15054.00      -14.45100       10.00779    
   15059.00      -14.06892       10.00246    
   15064.00      -13.74988       9.997123    
   15069.00      -13.47595       9.991795    
   15074.00      -13.23590       9.986469    
   15079.00      -13.02225       9.981148    
   15084.00      -12.82977       9.975831    
   15089.00      -12.65458       9.970517    
   15094.00      -12.49384       9.965206    
   15099.00      -12.34534       9.959899    
   15100.00      -12.31694       9.958838    
   15104.00      -12.20735       9.954596    
   15109.00      -12.07848       9.949296    
   15114.00      -11.95758       9.943999    
   15119.00      -11.84374       9.938707    
   15124.00      -11.73619       9.933419    
   15129.00      -11.63424       9.928134    
   15200.00      -10.57299       9.853467    
   15300.00      -9.672022       9.749527    
   15400.00      -9.064155       9.646983    
   15500.00      -8.610112       9.545811    
   15600.00      -8.251819       9.445987    
   15700.00      -7.959615       9.347491    
   15800.00      -7.716303       9.250302    
   15900.00      -7.516179       9.154426    
   16000.00      -7.341843       9.059884    
   16100.00      -7.193359       8.966588    
