  Element 83: Bi      Atomic mass:  208.9804

  Edge          keV         A
    K        90.5259    0.1370
    L-I      16.3875    0.7566
    L-II     15.7111    0.7892
    L-III    13.4186    0.9240
    M1        3.9991    3.1003
    M2        3.6963    3.3543
    M3        3.1769    3.9027
    M4        2.6876    4.6132
    M5        2.5796    4.8063

Scattering factors as a function of energy: 

   13496.00      -12.07730       10.02964    
   13500.00      -11.97692       10.02459    
   13501.00      -11.95258       10.02333    
   13506.00      -11.83522       10.01702    
   13511.00      -11.72434       10.01072    
   13516.00      -11.61930       10.00443    
   13600.00      -10.38104       9.899554    
   13700.00      -9.514619       9.776828    
   13800.00      -8.930387       9.656383    
   13900.00      -8.492198       9.538198    
   14000.00      -8.149929       9.422153    
   14100.00      -7.875300       9.308198    
   14200.00      -7.651876       9.196284    
   14300.00      -7.469327       9.086361    
   14400.00      -7.320941       8.978382    
   14500.00      -7.202281       8.872300    
   14600.00      -7.110505       8.768071    
   14700.00      -7.043998       8.665653    
   14800.00      -7.002216       8.565001    
   14900.00      -6.985699       8.466078    
   15000.00      -6.996255       8.368841    
   15100.00      -7.037437       8.273252    
   15200.00      -7.117423       8.179292    
   15300.00      -7.243558       8.086910    
   15400.00      -7.439002       7.996068    
   15500.00      -7.750945       7.906732    
   15600.00      -8.322412       7.818868    
   15614.00      -8.447348       7.806683    
   15619.00      -8.496712       7.802338    
   15624.00      -8.549002       7.797997    
   15629.00      -8.604581       7.793659    
   15634.00      -8.663852       7.789324    
   15639.00      -8.727304       7.784994    
   15644.00      -8.795540       7.780666    
   15649.00      -8.869296       7.776342    
   15654.00      -8.949496       7.772022    
   15659.00      -9.037323       7.767706    
   15664.00      -9.134292       7.763393    
   15669.00      -9.242496       7.759084    
   15674.00      -9.364760       7.754778    
   15679.00      -9.505162       7.750476    
   15684.00      -9.669864       7.746177    
   15689.00      -9.868828       7.741881    
   15694.00      -10.11977       7.737590    
   15699.00      -10.45914       7.733302    
   15700.00      -10.54387       7.732445    
   15704.00      -10.98378       7.729017    
   15709.00      -12.18598       7.724736    
   15714.00      -11.87299       10.83767    
   15719.00      -10.87446       10.83188    
   15724.00      -10.38441       10.82611    
   15729.00      -10.05618       10.82034    
   15734.00      -9.808772       10.81457    
   15739.00      -9.609995       10.80880    
   15744.00      -9.443748       10.80305    
   15749.00      -9.300838       10.79729    
   15754.00      -9.175432       10.79154    
   15759.00      -9.063702       10.78580    
   15764.00      -8.962939       10.78006    
   15769.00      -8.871175       10.77432    
   15774.00      -8.786926       10.76859    
   15779.00      -8.709053       10.76287    
   15784.00      -8.636658       10.75714    
   15789.00      -8.569034       10.75143    
   15794.00      -8.505571       10.74572    
   15799.00      -8.445804       10.74001    
   15800.00      -8.434252       10.73887    
   15804.00      -8.389327       10.73430    
   15809.00      -8.335804       10.72860    
   15900.00      -7.668931       10.62566    
   16000.00      -7.261023       10.51423    
   16100.00      -7.027104       10.40462    
   16200.00      -6.925701       10.29673    
   16290.00      -7.009987       10.20105    
   16295.00      -7.023713       10.19578    
   16300.00      -7.038985       10.19050    
   16305.00      -7.055981       10.18523    
   16310.00      -7.074891       10.17997    
   16315.00      -7.095976       10.17471    
   16320.00      -7.119515       10.16945    
   16325.00      -7.145895       10.16420    
   16330.00      -7.175553       10.15895    
   16335.00      -7.209084       10.15371    
   16340.00      -7.247263       10.14847    
   16345.00      -7.291077       10.14323    
   16350.00      -7.341960       10.13800    
   16355.00      -7.401876       10.13277    
   16360.00      -7.473886       10.12755    
   16365.00      -7.562777       10.12233    
   16370.00      -7.677153       10.11711    
   16375.00      -7.834230       10.11190    
   16380.00      -8.078751       10.10669    
   16385.00      -8.618212       10.10149    
   16390.00      -8.609973       11.67475    
   16395.00      -8.046265       11.66932    
   16400.00      -7.778309       11.66390    
   16405.00      -7.597982       11.65847    
   16410.00      -7.460595       11.65306    
   16415.00      -7.348687       11.64764    
   16420.00      -7.253786       11.64223    
   16425.00      -7.170989       11.63683    
   16430.00      -7.097245       11.63142    
   16435.00      -7.030599       11.62603    
   16440.00      -6.969593       11.62063    
   16445.00      -6.913253       11.61524    
   16450.00      -6.860768       11.60985    
   16455.00      -6.811592       11.60447    
   16460.00      -6.765239       11.59909    
   16465.00      -6.721324       11.59371    
   16470.00      -6.679580       11.58834    
   16475.00      -6.639726       11.58297    
   16480.00      -6.601582       11.57761    
   16485.00      -6.565075       11.57224    
   16500.00      -6.462911       11.55618    
   16600.00      -5.953654       11.44996    
   16700.00      -5.587205       11.34520    
   16800.00      -5.289116       11.24187    
   16900.00      -5.033379       11.13995    
   17000.00      -4.807432       11.03941    
   17100.00      -4.604059       10.94022    
   17200.00      -4.418652       10.84235    
   17300.00      -4.248020       10.74579    
   17400.00      -4.092486       10.65053    
   17500.00      -3.948295       10.55665    
   17600.00      -3.810334       10.46407    
   17700.00      -3.681510       10.37272    
   17800.00      -3.559235       10.28256    
   17900.00      -3.443619       10.19356    
   18000.00      -3.334044       10.10570    
   18100.00      -3.229982       10.01898    
   18200.00      -3.130977       9.933351    
   18300.00      -3.036634       9.848811    
   18400.00      -2.946604       9.765336    
   18500.00      -2.860580       9.682906    
   18600.00      -2.778289       9.601503    
   18700.00      -2.699487       9.521110    
   18800.00      -2.623957       9.441710    
   18900.00      -2.551496       9.363282    
   19000.00      -2.481927       9.285812    
   19100.00      -2.415085       9.209284    
   19200.00      -2.350821       9.133681    
   19300.00      -2.288999       9.058989    
   19400.00      -2.229489       8.985188    
   19500.00      -2.172176       8.912268    
   19600.00      -2.116954       8.840211    
   19700.00      -2.063720       8.769005    
   19800.00      -2.012385       8.698636    
   19900.00      -1.962858       8.629088    
   20000.00      -1.915060       8.560349    
   20100.00      -1.868916       8.492406    
   20200.00      -1.824355       8.425245    
   20300.00      -1.781312       8.358856    
   20400.00      -1.739717       8.293224    
   20500.00      -1.698998       8.228319    
   20600.00      -1.660134       8.164141    
   20700.00      -1.622560       8.100684    
   20800.00      -1.586227       8.037941    
   20900.00      -1.551087       7.975895    
   21000.00      -1.517097       7.914538    
   21100.00      -1.484215       7.853860    
   21200.00      -1.452402       7.793851    
   21300.00      -1.421694       7.734500    
   21400.00      -1.413159       7.676764    
   21500.00      -1.384755       7.619731    
   21600.00      -1.357243       7.563356    
   21700.00      -1.330592       7.507627    
   21800.00      -1.304772       7.452536    
   21900.00      -1.279753       7.398070    
   22000.00      -1.255510       7.344221    
   22100.00      -1.232015       7.290978    
   22200.00      -1.209244       7.238334    
   22300.00      -1.187172       7.186280    
   22400.00      -1.165777       7.134804    
   22500.00      -1.145036       7.083899    
   22600.00      -1.124930       7.033556    
   22700.00      -1.105436       6.983767    
   22800.00      -1.086537       6.934524    
   22900.00      -1.068213       6.885818    
   23000.00      -1.050446       6.837640    
   23100.00      -1.033220       6.789984    
   23200.00      -1.016518       6.742842    
