  Element 65: Tb      Atomic mass:  158.9254

  Edge          keV         A
    K        51.9957    0.2385
    L-I       8.7080    1.4238
    L-II      8.2516    1.5025
    L-III     7.5140    1.6500
    M1        1.9675    6.3016
    M2        1.7677    7.0139
    M3        1.6113    7.6947
    M4        1.2750    9.7243
    M5        1.2412    9.9891

Scattering factors as a function of energy: 

   7602.000      -11.94792       10.34079    
   7607.000      -11.82686       10.32538    
   7612.000      -11.71251       10.31003    
   7700.000      -10.37404       10.04945    
   7800.000      -9.585491       9.774179    
   7900.000      -9.172639       9.519031    
   8000.000      -9.027912       9.282310    
   8100.000      -9.183042       9.062511    
   8154.000      -9.483027       8.950377    
   8159.000      -9.524736       8.940217    
   8164.000      -9.569796       8.930096    
   8169.000      -9.618595       8.920010    
   8174.000      -9.671573       8.909961    
   8179.000      -9.729262       8.899948    
   8184.000      -9.792316       8.889972    
   8189.000      -9.861536       8.880032    
   8194.000      -9.937924       8.870129    
   8199.000      -10.02276       8.860261    
   8200.000      -10.04087       8.858293    
   8204.000      -10.11770       8.850430    
   8209.000      -10.22496       8.840635    
   8214.000      -10.34761       8.830875    
   8219.000      -10.49003       8.821152    
   8224.000      -10.65876       8.811462    
   8229.000      -10.86436       8.801808    
   8234.000      -11.12535       8.792190    
   8239.000      -11.47920       8.782606    
   8244.000      -12.02209       8.773057    
   8249.000      -13.19040       8.763545    
   8254.000      -13.27580       12.23302    
   8259.000      -12.00980       12.21754    
   8264.000      -11.42146       12.20213    
   8269.000      -11.03084       12.18679    
   8274.000      -10.73652       12.17154    
   8279.000      -10.49951       12.15636    
   8284.000      -10.30059       12.14126    
   8289.000      -10.12894       12.12624    
   8294.000      -9.977703       12.11129    
   8299.000      -9.842427       12.09642    
   8300.000      -9.816982       12.09345    
   8304.000      -9.719963       12.08162    
   8309.000      -9.608027       12.06690    
   8314.000      -9.504905       12.05225    
   8319.000      -9.409282       12.03767    
   8324.000      -9.320121       12.02317    
   8329.000      -9.236596       12.00874    
   8334.000      -9.158049       11.99439    
   8339.000      -9.083895       11.98011    
   8344.000      -9.013689       11.96590    
   8349.000      -8.947042       11.95176    
   8400.000      -8.413241       11.81158    
   8500.000      -7.802418       11.55706    
   8600.000      -7.573409       11.32769    
   8611.000      -7.575603       11.30391    
   8616.000      -7.579289       11.29319    
   8621.000      -7.584866       11.28253    
   8626.000      -7.592519       11.27192    
   8631.000      -7.602468       11.26137    
   8636.000      -7.614988       11.25088    
   8641.000      -7.630405       11.24044    
   8646.000      -7.649129       11.23005    
   8651.000      -7.671675       11.21973    
   8656.000      -7.698746       11.20946    
   8661.000      -7.730957       11.19924    
   8666.000      -7.769801       11.18908    
   8671.000      -7.816683       11.17897    
   8676.000      -7.873926       11.16892    
   8681.000      -7.944989       11.15892    
   8686.000      -8.035485       11.14897    
   8691.000      -8.155427       11.13908    
   8696.000      -8.325490       11.12925    
   8700.000      -8.531673       11.12142    
   8701.000      -8.601035       11.11946    
   8706.000      -9.271164       11.10973    
   8711.000      -9.028260       12.84022    
   8716.000      -8.462471       12.82925    
   8721.000      -8.171544       12.81835    
   8726.000      -7.969694       12.80752    
   8731.000      -7.812645       12.79677    
   8736.000      -7.682690       12.78610    
   8741.000      -7.570936       12.77549    
   8746.000      -7.472277       12.76496    
   8751.000      -7.383508       12.75450    
   8756.000      -7.302499       12.74412    
   8761.000      -7.227710       12.73381    
   8766.000      -7.158059       12.72357    
   8771.000      -7.092717       12.71340    
   8776.000      -7.031045       12.70330    
   8781.000      -6.972540       12.69327    
   8786.000      -6.916798       12.68332    
   8791.000      -6.863489       12.67343    
   8796.000      -6.812350       12.66362    
   8800.000      -6.772828       12.65582    
   8801.000      -6.763135       12.65388    
   8806.000      -6.715662       12.64420    
   8900.000      -6.016796       12.47506    
   9000.000      -5.478004       12.26952    
   9100.000      -5.044044       12.07605    
   9200.000      -4.629003       11.88642    
   9300.000      -4.289677       11.69717    
   9400.000      -3.986380       11.51125    
   9500.000      -3.712269       11.32859    
   9600.000      -3.462542       11.14910    
   9700.000      -3.233650       10.97272    
   9800.000      -3.027702       10.79953    
   9900.000      -2.833297       10.62970    
   10000.00      -2.653020       10.46285    
   10100.00      -2.485430       10.29891    
   10200.00      -2.329315       10.13782    
   10300.00      -2.183643       9.979506    
   10400.00      -2.047531       9.823920    
   10500.00      -1.920211       9.671001    
   10600.00      -1.801016       9.520696    
   10700.00      -1.689359       9.372952    
   10800.00      -1.619090       9.230059    
   10900.00      -1.522141       9.090639    
   11000.00      -1.431069       8.953783    
   11100.00      -1.345495       8.819430    
   11200.00      -1.265077       8.687523    
   11300.00      -1.189503       8.558002    
   11400.00      -1.192149       8.435998    
   11500.00      -1.127822       8.317890    
   11600.00      -1.067290       8.202314    
   11700.00      -1.009956       8.089198    
   11800.00     -0.9557931       7.978467    
   11900.00     -0.9046072       7.870057    
   12000.00     -0.8562196       7.763899    
   12100.00     -0.8104659       7.659930    
   12200.00     -0.7671942       7.558091    
   12300.00     -0.7262622       7.458321    
   12400.00     -0.6875393       7.360564    
   12500.00     -0.6509027       7.264764    
   12600.00     -0.6162390       7.170868    
   12700.00     -0.5834422       7.078827    
   12800.00     -0.5524126       6.988590    
   12900.00     -0.5230579       6.900109    
   13000.00     -0.4952910       6.813337    
   13100.00     -0.4690306       6.728230    
   13200.00     -0.4442007       6.644746    
   13300.00     -0.4207290       6.562841    
   13400.00     -0.3985487       6.482477    
   13500.00     -0.3775958       6.403612    
   13600.00     -0.3578108       6.326210    
   13700.00     -0.3391376       6.250235    
   13800.00     -0.3215229       6.175649    
   13900.00     -0.3049167       6.102420    
   14000.00     -0.2892715       6.030514    
   14100.00     -0.2745426       5.959897    
   14200.00     -0.2606879       5.890541    
   14300.00     -0.2476669       5.822412    
   14400.00     -0.2354421       5.755483    
   14500.00     -0.2239771       5.689725    
   14600.00     -0.2132381       5.625110    
   14700.00     -0.2031927       5.561611    
   14800.00     -0.1938101       5.499202    
   14900.00     -0.1850612       5.437859    
   15000.00     -0.1769181       5.377555    
   15100.00     -0.1708044       5.318306    
   15200.00     -0.1638017       5.260066    
   15300.00     -0.1573279       5.202796    
   15400.00     -0.1513605       5.146475    
   15500.00     -0.1458778       5.091082    
   15600.00     -0.1408594       5.036595    
   15700.00     -0.1362856       4.982996    
   15800.00     -0.1321377       4.930264    
   15900.00     -0.1283979       4.878380    
   16000.00     -0.1250492       4.827326    
   16100.00     -0.1220754       4.777083    
   16200.00     -0.1194608       4.727636    
   16300.00     -0.1171909       4.678967    
   16400.00     -0.1152513       4.631058    
   16500.00     -0.1136286       4.583894    
   16600.00     -0.1135612       4.537499    
   16700.00     -0.1125395       4.491820    
   16800.00     -0.1117965       4.446841    
   16900.00     -0.1113207       4.402546    
   17000.00     -0.1111015       4.358922    
   17100.00     -0.1111283       4.315954    
   17200.00     -0.1113915       4.273630    
   17300.00     -0.1118813       4.231937    
   17400.00     -0.1125889       4.190861    
   17500.00     -0.1148580       4.150426    
   17600.00     -0.1159875       4.110592    
   17700.00     -0.1173087       4.071341    
   17800.00     -0.1188395       4.032660    
   17900.00     -0.1205209       3.994537    
   18000.00     -0.1223717       3.956964    
   18100.00     -0.1243851       3.919927    
   18200.00     -0.1265547       3.883418    
   18300.00     -0.1288743       3.847427    
   18400.00     -0.1313378       3.811943    
   18500.00     -0.1339396       3.776956    
   18600.00     -0.1366741       3.742457    
   18700.00     -0.1395360       3.708438    
   18800.00     -0.1425202       3.674889    
   18900.00     -0.1456219       3.641800    
   19000.00     -0.1488364       3.609164    
   19100.00     -0.1521591       3.576973    
   19200.00     -0.1555858       3.545218    
   19300.00     -0.1591122       3.513891    
   19400.00     -0.1627344       3.482985    
   19500.00     -0.1664485       3.452491    
   19600.00     -0.1702508       3.422402    
   19700.00     -0.1741378       3.392711    
   19800.00     -0.1781060       3.363412    
   19900.00     -0.1821522       3.334497    
   20000.00     -0.1862732       3.305958    
   20100.00     -0.1904660       3.277791    
   20200.00     -0.1947276       3.249987    
   20300.00     -0.1990552       3.222541    
   20400.00     -0.2034461       3.195446    
   20500.00     -0.2078978       3.168698    
   20600.00     -0.2124077       3.142288    
   20700.00     -0.2169734       3.116212    
   20800.00     -0.2215925       3.090465    
   20900.00     -0.2262630       3.065039    
   21000.00     -0.2309826       3.039931    
   21100.00     -0.2357493       3.015134    
   21200.00     -0.2405611       2.990643    
   21300.00     -0.2454159       2.966455    
   21400.00     -0.2503121       2.942562    
   21500.00     -0.2552480       2.918961    
   21600.00     -0.2602217       2.895646    
   21700.00     -0.2652316       2.872613    
   21800.00     -0.2702762       2.849858    
   21900.00     -0.2753540       2.827375    
   22000.00     -0.2804635       2.805161    
   22100.00     -0.2856033       2.783211    
   22200.00     -0.2907722       2.761521    
   22300.00     -0.2959686       2.740087    
   22400.00     -0.3011916       2.718904    
   22500.00     -0.3064398       2.697969    
   22600.00     -0.3117122       2.677278    
   22700.00     -0.3170077       2.656827    
   22800.00     -0.3223250       2.636612    
   22900.00     -0.3276633       2.616629    
   23000.00     -0.3330217       2.596876    
   23100.00     -0.3383992       2.577347    
   23200.00     -0.3437949       2.558041    
   23300.00     -0.3492078       2.538954    
   23400.00     -0.3546373       2.520081    
   23500.00     -0.3600826       2.501420    
   23600.00     -0.3655429       2.482968    
   23700.00     -0.3710174       2.464722    
   23800.00     -0.3765055       2.446678    
   23900.00     -0.3820066       2.428833    
   24000.00     -0.3875201       2.411185    
   24100.00     -0.3930453       2.393731    
   24200.00     -0.3985818       2.376467    
   24300.00     -0.4041288       2.359392    
   24400.00     -0.4096861       2.342501    
   24500.00     -0.4152530       2.325793    
   24600.00     -0.4208292       2.309264    
   24700.00     -0.4264143       2.292913    
   24800.00     -0.4320077       2.276736    
   24900.00     -0.4376093       2.260732    
