  Element 74: W       Atomic mass:  183.8500

  Edge          keV         A
    K        69.5250    0.1783
    L-I      12.0998    1.0247
    L-II     11.5440    1.0740
    L-III    10.2068    1.2147
    M1        2.8196    4.3972
    M2        2.5749    4.8151
    M3        2.2810    5.4355
    M4        1.8716    6.6245
    M5        1.8092    6.8530

Scattering factors as a function of energy: 

   12162.00      -7.095469       12.07181    
   12167.00      -7.040847       12.06438    
   12172.00      -6.989268       12.05697    
   12177.00      -6.940336       12.04956    
   12182.00      -6.893728       12.04217    
   12187.00      -6.849179       12.03479    
   12192.00      -6.806468       12.02743    
   12197.00      -6.765417       12.02007    
   12200.00      -6.741506       12.01567    
   12300.00      -6.132290       11.87119    
   12400.00      -5.700978       11.73126    
   12500.00      -5.353447       11.59568    
   12600.00      -5.057756       11.46428    
   12700.00      -4.798541       11.33690    
   12800.00      -4.566944       11.21337    
   12900.00      -4.357231       11.09354    
   13000.00      -4.165423       10.97728    
   13100.00      -3.988602       10.86446    
   13200.00      -3.824542       10.75494    
   13300.00      -3.408721       10.64239    
   13400.00      -3.257838       10.51872    
   13500.00      -3.116506       10.39728    
   13600.00      -2.983780       10.27802    
   13700.00      -2.858850       10.16089    
   13800.00      -2.741018       10.04583    
   13900.00      -2.629685       9.932781    
   14000.00      -2.524323       9.821704    
   14100.00      -2.424470       9.712546    
   14200.00      -2.329719       9.605262    
   14300.00      -2.239703       9.499803    
   14400.00      -2.154097       9.396127    
   14500.00      -2.072605       9.294189    
   14600.00      -1.994962       9.193951    
   14700.00      -1.920928       9.095370    
   14800.00      -1.850280       8.998409    
   14900.00      -1.782820       8.903030    
   15000.00      -1.718348       8.809196    
   15100.00      -1.634897       8.715520    
   15200.00      -1.575466       8.623171    
   15300.00      -1.518664       8.532222    
   15400.00      -1.464319       8.442643    
   15500.00      -1.412328       8.354406    
   15600.00      -1.362575       8.267484    
   15700.00      -1.314952       8.181849    
   15800.00      -1.291111       8.098453    
   15900.00      -1.248039       8.016749    
   16000.00      -1.206752       7.936309    
   16100.00      -1.167165       7.857106    
   16200.00      -1.129556       7.779114    
   16300.00      -1.093141       7.702312    
   16400.00      -1.058205       7.626668    
   16500.00      -1.024683       7.552163    
   16600.00     -0.9925312       7.478772    
   16700.00     -0.9616556       7.406473    
   16800.00     -0.9320193       7.335246    
   16900.00     -0.9035693       7.265064    
   17000.00     -0.8762571       7.195910    
   17100.00     -0.8500357       7.127764    
   17200.00     -0.8248608       7.060604    
   17300.00     -0.8006909       6.994413    
   17400.00     -0.7774851       6.929169    
   17500.00     -0.7552057       6.864856    
   17600.00     -0.7338166       6.801455    
   17700.00     -0.7132835       6.738948    
   17800.00     -0.6935738       6.677320    
   17900.00     -0.6746556       6.616551    
   18000.00     -0.6564993       6.556628    
   18100.00     -0.6390767       6.497532    
   18200.00     -0.6223605       6.439250    
   18300.00     -0.6063250       6.381767    
   18400.00     -0.5909448       6.325066    
   18500.00     -0.5761966       6.269133    
   18600.00     -0.5620577       6.213954    
   18700.00     -0.5485062       6.159517    
   18800.00     -0.5355217       6.105807    
   18900.00     -0.5230837       6.052811    
   19000.00     -0.5111735       6.000515    
   19100.00     -0.4997726       5.948908    
   19200.00     -0.4888636       5.897978    
   19300.00     -0.4784297       5.847713    
   19400.00     -0.4684544       5.798099    
   19500.00     -0.4589223       5.749126    
   19600.00     -0.4498186       5.700783    
   19700.00     -0.4411290       5.653059    
