  Element 80: Hg      Atomic mass:  200.5900

  Edge          keV         A
    K        83.1023    0.1492
    L-I      14.8393    0.8355
    L-II     14.2087    0.8726
    L-III    12.2839    1.0093
    M1        3.5616    3.4811
    M2        3.2785    3.7817
    M3        2.8471    4.3548
    M4        2.3849    5.1987
    M5        2.2949    5.4026

Scattering factors as a function of energy: 

   22000.00     -0.7852792       6.377376    
   22100.00     -0.7719666       6.330504    
   22200.00     -0.7591056       6.284162    
   22300.00     -0.7466825       6.238342    
   22400.00     -0.7346839       6.193036    
   22500.00     -0.7230970       6.148235    
   22600.00     -0.7119097       6.103932    
   22700.00     -0.7011099       6.060121    
   22800.00     -0.6906865       6.016793    
   22900.00     -0.6806281       5.973940    
   23000.00     -0.6709242       5.931557    
   23100.00     -0.6615645       5.889635    
   23200.00     -0.6525391       5.848168    
   23300.00     -0.6438386       5.807151    
   23400.00     -0.6354533       5.766575    
   23500.00     -0.6273746       5.726434    
   23600.00     -0.6195937       5.686721    
   23700.00     -0.6121024       5.647432    
   23800.00     -0.6048926       5.608560    
   23900.00     -0.5979562       5.570097    
   24000.00     -0.5912858       5.532040    
   24100.00     -0.5848742       5.494381    
   24200.00     -0.5787143       5.457115    
   24300.00     -0.5727992       5.420238    
   24400.00     -0.5671222       5.383741    
   24500.00     -0.5616770       5.347622    
   24600.00     -0.5546589       5.311862    
   24700.00     -0.5496534       5.276440    
   24800.00     -0.5448623       5.241379    
   24900.00     -0.5402801       5.206675    
