  Element 53: I       Atomic mass:  126.9045

  Edge          keV         A
    K        33.1694    0.3738
    L-I       5.1881    2.3898
    L-II      4.8521    2.5553
    L-III     4.5571    2.7207
    M1        1.0721   11.5646

Scattering factors as a function of energy: 

   22000.00     -0.8464278       1.203202    
   22100.00     -0.8555003       1.193427    
   22200.00     -0.8645980       1.183771    
   22300.00     -0.8737221       1.174233    
   22400.00     -0.8828735       1.164810    
   22500.00     -0.8945905       1.155507    
   22600.00     -0.9039800       1.146344    
   22700.00     -0.9132267       1.137291    
   22800.00     -0.9225089       1.128346    
   22900.00     -0.9321432       1.119508    
   23000.00     -0.9414986       1.110775    
   23100.00     -0.9508908       1.102146    
   23200.00     -0.9603232       1.093618    
   23300.00     -0.9697975       1.085190    
   23400.00     -0.9793160       1.076859    
   23500.00     -0.9888805       1.068626    
   23600.00     -0.9984929       1.060487    
   23700.00      -1.008155       1.052442    
   23800.00      -1.017869       1.044489    
   23900.00      -1.027638       1.036627    
   24000.00      -1.037462       1.028855    
   24100.00      -1.047346       1.021170    
   24200.00      -1.057290       1.013572    
   24300.00      -1.067297       1.006059    
   24400.00      -1.077370      0.9986305    
   24500.00      -1.087512      0.9912846    
   24600.00      -1.097724      0.9840202    
   24700.00      -1.108010      0.9768362    
   24800.00      -1.118373      0.9697314    
   24900.00      -1.128815      0.9627044    
