  Element 38: Sr      Atomic mass:   87.6200

  Edge          keV         A
    K        16.1046    0.7699
    L-I       2.2163    5.5942
    L-II      2.0068    6.1782
    L-III     1.9396    6.3923

Scattering factors as a function of energy: 

   16012.00      -4.531285      0.5301459    
   16017.00      -4.586534      0.5298429    
   16022.00      -4.645102      0.5295403    
   16027.00      -4.707454      0.5292379    
   16032.00      -4.774046      0.5289358    
   16037.00      -4.845540      0.5286338    
   16042.00      -4.922634      0.5283323    
   16047.00      -5.006327      0.5280309    
   16052.00      -5.097755      0.5277299    
   16057.00      -5.198505      0.5274290    
   16062.00      -5.310699      0.5271285    
   16067.00      -5.437111      0.5268282    
   16072.00      -5.581929      0.5265281    
   16077.00      -5.751185      0.5262283    
   16082.00      -5.954867      0.5259287    
   16087.00      -6.210147      0.5256295    
   16092.00      -6.552091      0.5253305    
   16097.00      -7.070779      0.5250317    
   16100.00      -7.586882      0.5248526    
   16102.00      -8.173613      0.5247332    
   16107.00      -8.266174       3.774017    
   16112.00      -7.097009       3.771629    
   16117.00      -6.559167       3.769244    
   16122.00      -6.205417       3.766863    
   16127.00      -5.940930       3.764484    
   16132.00      -5.729575       3.762109    
   16137.00      -5.553379       3.759738    
   16142.00      -5.402168       3.757369    
   16147.00      -5.269768       3.755004    
   16152.00      -5.151892       3.752641    
   16157.00      -5.045712       3.750282    
   16162.00      -4.949024       3.747926    
   16167.00      -4.860315       3.745573    
   16172.00      -4.778294       3.743223    
   16177.00      -4.702066       3.740877    
   16182.00      -4.630832       3.738534    
   16187.00      -4.563945       3.736194    
   16192.00      -4.500943       3.733857    
   16197.00      -4.441350       3.731523    
   16200.00      -4.407094       3.730124    
   16202.00      -4.384851       3.729192    
   16300.00      -3.631526       3.684135    
   16400.00      -3.178024       3.639356    
   16500.00      -2.855579       3.595745    
   16600.00      -2.605327       3.553265    
   16700.00      -2.401121       3.511878    
   16800.00      -2.228993       3.471549    
   16900.00      -2.080404       3.432242    
   17000.00      -1.950374       3.393926    
   17100.00      -1.834734       3.356569    
   17200.00      -1.731068       3.320140    
   17300.00      -1.637132       3.284612    
   17400.00      -1.551522       3.249954    
   17500.00      -1.473046       3.216141    
   17600.00      -1.400748       3.183147    
   17700.00      -1.333853       3.150947    
   17800.00      -1.271723       3.119518    
   17900.00      -1.213821       3.088836    
   18000.00      -1.159698       3.058879    
   18100.00      -1.108971       3.029625    
   18200.00      -1.061309       3.001055    
   18300.00      -1.016428       2.973150    
   18400.00     -0.9740756       2.945888    
   18500.00     -0.9340345       2.919253    
   18600.00     -0.8961112       2.893227    
   18700.00     -0.8601340       2.867792    
   18800.00     -0.8259505       2.842933    
   18900.00     -0.7934222       2.818633    
   19000.00     -0.7624263       2.794878    
   19100.00     -0.7328514       2.771652    
   19200.00     -0.7045966       2.748940    
   19300.00     -0.6775706       2.726731    
   19400.00     -0.6516885       2.705010    
   19500.00     -0.6268744       2.683764    
   19600.00     -0.6030580       2.662981    
   19700.00     -0.5801749       2.642649    
   19800.00     -0.5581660       2.622756    
   19900.00     -0.5369754       2.603292    
   20000.00     -0.5165528       2.584245    
   20100.00     -0.4968510       2.565605    
   20200.00     -0.4778262       2.547362    
   20300.00     -0.4594379       2.529505    
   20400.00     -0.4416473       2.512027    
   20500.00     -0.4244193       2.494916    
   20600.00     -0.4077205       2.478165    
   20700.00     -0.3915198       2.461764    
   20800.00     -0.3757883       2.445707    
   20900.00     -0.3605016       2.429983    
   21000.00     -0.2663905       2.412146    
   21100.00     -0.2504525       2.393186    
   21200.00     -0.2350200       2.374445    
   21300.00     -0.2200744       2.355921    
   21400.00     -0.2055963       2.337609    
   21500.00     -0.1915677       2.319507    
   21600.00     -0.1779716       2.301612    
   21700.00     -0.1647916       2.283919    
   21800.00     -0.1520125       2.266428    
   21900.00     -0.1396190       2.249133    
   22000.00     -0.1275973       2.232032    
   22100.00     -0.1159343       2.215122    
   22200.00     -0.1046171       2.198401    
   22300.00     -9.3633927E-02   2.181866    
   22400.00     -8.2972787E-02   2.165514    
   22500.00     -7.2622880E-02   2.149341    
   22600.00     -6.2573701E-02   2.133346    
   22700.00     -5.2815195E-02   2.117525    
   22800.00     -4.3337937E-02   2.101878    
   22900.00     -3.4132373E-02   2.086399    
   23000.00     -2.5189880E-02   2.071088    
   23100.00     -1.6502030E-02   2.055942    
   23200.00     -8.0607412E-03   2.040959    
   23300.00      1.4158151E-04   2.026136    
   23400.00      8.1126830E-03   2.011470    
   23500.00      1.5859541E-02   1.996960    
   23600.00      2.3389006E-02   1.982604    
   23700.00      3.0707661E-02   1.968399    
   23800.00      3.7821699E-02   1.954343    
   23900.00      4.4737469E-02   1.940434    
   24000.00      5.1460695E-02   1.926670    
   24100.00      5.7996999E-02   1.913049    
   24200.00      6.4351805E-02   1.899569    
   24300.00      7.0530213E-02   1.886229    
   24400.00      7.6537497E-02   1.873025    
   24500.00      8.2378365E-02   1.859956    
   24600.00      8.8057503E-02   1.847021    
   24700.00      9.3579404E-02   1.834217    
   24800.00      9.8948322E-02   1.821543    
   24900.00      0.1041686       1.808998    
