  Element 64: Gd      Atomic mass:  157.2500

  Edge          keV         A
   20500.00     -0.2280547       2.975639    
   20600.00     -0.2330850       2.950754    
   20700.00     -0.2381586       2.926184    
   20800.00     -0.2432734       2.901924    
   20900.00     -0.2484277       2.877969    
   21000.00     -0.2536198       2.854312    
   21100.00     -0.2588479       2.830950    
   21200.00     -0.2641104       2.807878    
   21300.00     -0.2694055       2.785090    
   21400.00     -0.2747320       2.762582    
   21500.00     -0.2800884       2.740349    
   21600.00     -0.2854732       2.718387    
   21700.00     -0.2908851       2.696691    
   21800.00     -0.2963228       2.675257    
   21900.00     -0.3017851       2.654081    
   22000.00     -0.3072709       2.633157    
   22100.00     -0.3127790       2.612484    
   22200.00     -0.3183084       2.592055    
   22300.00     -0.3238578       2.571869    
   22400.00     -0.3294265       2.551919    
   22500.00     -0.3350134       2.532204    
   22600.00     -0.3406177       2.512718    
   22700.00     -0.3462384       2.493459    
   22800.00     -0.3518746       2.474424    
   22900.00     -0.3575259       2.455607    
   23000.00     -0.3631911       2.437007    
   23100.00     -0.3688698       2.418619    
   23200.00     -0.3745611       2.400441    
   23300.00     -0.3802643       2.382469    
   23400.00     -0.3859790       2.364700    
   23500.00     -0.3917045       2.347131    
   23600.00     -0.3974402       2.329759    
   23700.00     -0.4031856       2.312582    
   23800.00     -0.4089400       2.295595    
   23900.00     -0.4147033       2.278796    
   24000.00     -0.4204748       2.262183    
   24100.00     -0.4262541       2.245752    
   24200.00     -0.4320409       2.229502    
   24300.00     -0.4378345       2.213429    
   24400.00     -0.4436350       2.197530    
   24500.00     -0.4494418       2.181803    
   24600.00     -0.4552547       2.166247    
   24700.00     -0.4610733       2.150857    
   24800.00     -0.4668973       2.135632    
   24900.00     -0.4727267       2.120569    
