  Element 41: Nb      Atomic mass:   92.9064

  Edge          keV         A
    K        18.9856    0.6530
    L-I       2.6977    4.5959
    L-II      2.4647    5.0304
    L-III     2.3705    5.2303

Scattering factors as a function of energy: 

   21700.00     -0.9685646       2.926959    
   21800.00     -0.9341725       2.904616    
   21900.00     -0.9012944       2.882647    
   22000.00     -0.8698282       2.861043    
   22100.00     -0.8396810       2.839798    
   22200.00     -0.8107679       2.818904    
   22300.00     -0.7830121       2.798352    
   22400.00     -0.7563418       2.778136    
   22500.00     -0.7306924       2.758249    
   22600.00     -0.7060046       2.738683    
   22700.00     -0.6822229       2.719431    
   22800.00     -0.6592970       2.700488    
   22900.00     -0.6371790       2.681847    
   23000.00     -0.6158254       2.663501    
   23100.00     -0.5951955       2.645444    
   23200.00     -0.5752516       2.627672    
   23300.00     -0.5559586       2.610177    
   23400.00     -0.5372828       2.592954    
   23500.00     -0.5191936       2.575998    
   23600.00     -0.5016621       2.559303    
   23700.00     -0.4846611       2.542865    
   23800.00     -0.4681652       2.526678    
   23900.00     -0.4521497       2.510736    
   24000.00     -0.4365925       2.495037    
   24100.00     -0.4214719       2.479574    
   24200.00     -0.4067678       2.464343    
   24300.00     -0.3924614       2.449340    
   24400.00     -0.3785340       2.434560    
   24500.00     -0.3649689       2.419999    
   24600.00     -0.3517506       2.405653    
   24700.00     -0.2875557       2.391123    
   24800.00     -0.2741582       2.375072    
   24900.00     -0.2611186       2.359182    
