  Element 15: P       Atomic mass:   30.9738

  Edge          keV         A
    K         2.1455    5.7788

Scattering factors as a function of energy: 

   23300.00      6.0572091E-02  5.2494057E-02
   23400.00      6.0057912E-02  5.2027710E-02
   23500.00      5.9548791E-02  5.1567290E-02
   23600.00      5.9044655E-02  5.1112708E-02
   23700.00      5.8545448E-02  5.0663862E-02
   23800.00      5.8051102E-02  5.0220668E-02
   23900.00      5.7561547E-02  4.9783014E-02
   24000.00      5.7076715E-02  4.9350820E-02
   24100.00      5.6596555E-02  4.8923995E-02
   24200.00      5.6121003E-02  4.8502453E-02
   24300.00      5.5650007E-02  4.8086118E-02
   24400.00      5.5183485E-02  4.7674887E-02
   24500.00      5.4721396E-02  4.7268685E-02
   24600.00      5.4263681E-02  4.6867438E-02
   24700.00      5.3810280E-02  4.6471063E-02
   24800.00      5.3361148E-02  4.6079487E-02
   24900.00      5.2916210E-02  4.5692626E-02
